key,_context,_speaker,en,ja,_max_width_px,_origin
obj.sne.shrine_between_homes.inspect,objective,,Inspect the old unlabelled key and Sanae's current threshold repair list.,古い無記名の鍵と、早苗の今の敷居修繕表を確かめる。,208,Original
event.sne.shrine_between_homes.title,event_title,,A Shrine Between Homes,二つの故郷を持つ神社,208,Original
choice.sne.shrine_between_homes.direct,choice,,Say neither home has to defeat the other to be real.,どちらの故郷も、本物になるために他方を負かす必要はないと伝える。,248,Original
choice.sne.shrine_between_homes.playful,choice,,Suggest the key can retire without becoming a sacred relic.,鍵は御神体にならなくても引退できると言う。,248,Original
choice.sne.shrine_between_homes.patient,choice,,Stay beside her and keep repairing until she chooses another sentence.,彼女が次の言葉を選ぶまで、隣で修理を続ける。,248,Original
choice.sne.shrine_between_homes.defiant,choice,,Refuse to call this room a waiting room for a possible return.,この部屋を、いつか戻るための待合室とは呼ばない。,248,Original
dlg.sne.shrine_between_homes.key,dialogue,char.sanae_kochiya,"This key was caught under the old weather strip. I know it opened a door in the Outside World. I no longer know whether that door, lock, or address still exists.",「この鍵、古い隙間材の下に挟まっていました。外の世界の扉を開けたことは覚えています。でも、その扉も錠も住所も、今あるかは分かりません。」,248,Original
dlg.sne.shrine_between_homes.address,dialogue,char.sanae_kochiya,"I do not only miss the place. I miss having an address I could say without explaining gods, boundaries, or why the mountain moved with us.",「場所だけが恋しいわけではありません。神様も結界も、なぜ山が一緒に移ったかも説明せずに言えた住所が、恋しいんです。」,248,Original
dlg.sne.shrine_between_homes.direct,dialogue,char.sanae_kochiya,"Good. I am tired of answering which one is more truly home, as if honesty requires a winner. They are not equal, but both are true.",「よかった。正直になるには勝者が必要みたいに、どちらが本当の故郷か答えるのは疲れました。同じではなくても、どちらも本当です。」,248,Original
dlg.sne.shrine_between_homes.playful,dialogue,char.sanae_kochiya,"A dignified retirement in the ordinary drawer, then. No altar, no dramatic disposal, and no pretending I kept it for a practical lock.",「では普通の引き出しで、立派に引退ですね。祭壇にもせず、劇的に捨てず、実用の錠前のためだとも装わない。」,248,Original
dlg.sne.shrine_between_homes.patient,dialogue,char.sanae_kochiya,"Thank you. I do not have a useful conclusion yet. Hand me the short nails; the silence can stay unfinished while the threshold does not.",「ありがとうございます。まだ役に立つ結論はありません。短い釘を取ってください。沈黙は未完成でも、敷居まで未完成にしなくていい。」,248,Original
dlg.sne.shrine_between_homes.defiant,dialogue,char.sanae_kochiya,"No. I live here; I am not storing myself here between departures. Missing another home does not make this one temporary.",「ええ。私はここで暮らしています。次の出発まで自分を保管しているんじゃない。別の故郷を恋しく思っても、ここが仮住まいになるわけではありません。」,248,Original
dlg.sne.shrine_between_homes.after_repair,dialogue,char.sanae_kochiya,"There. The mountain wind will stop entering under the door. That is an ordinary improvement, which may be exactly what makes a room a home.",「できました。これで山風は扉の下から入りません。ごく普通の改善ですが、部屋を家にするのは、きっとこういうことです。」,248,Original
dlg.sne.shrine_between_homes.after_key,dialogue,char.sanae_kochiya,"The key stays in the drawer because it belonged to my life, not because it promises a return. This room stays warm because I repaired it today.",「鍵は、帰還を約束するからではなく、私の人生に属していたから引き出しに置きます。この部屋が暖かいのは、今日ここを直したからです。」,248,Original
journal.sne.shrine_between_homes.title,journal_title,,The Key and the Threshold,鍵と敷居,248,Original
journal.sne.shrine_between_homes.body,journal_body,,Sanae kept an old key as an ordinary part of her history and repaired the threshold of her present room. Missing an address that needed no explanation did not force either home to become false or temporary.,早苗は古い鍵を人生の普通の一部として残し、今の部屋の敷居を直した。説明のいらない住所を恋しく思っても、どちらかの故郷を偽物や仮のものにする必要はなかった。,248,Original
