key,context,speaker,en,ja,max_width_px,origin
obj.sne.outside_world_shorthand.read_labels,objective,,Read Sanae's transfer-map labels and the older shorthand notebook beside them.,早苗の乗換図風の荷札と、隣にある昔の速記帳を読む。,208,Original
event.sne.outside_world_shorthand.title,event_title,,Outside World Shorthand,外の世界の速記,208,Original
choice.sne.outside_world_shorthand.direct,choice,,Point out that these are no longer purely Outside World instructions.,もう純粋な外の世界の指示ではないと伝える。,248,Original
choice.sne.outside_world_shorthand.playful,choice,,Ask whether the last train always had wings and waited for mountain wind.,終電には昔から翼があり、山風を待っていたのかと尋ねる。,248,Original
choice.sne.outside_world_shorthand.patient,choice,,Ask which part she stopped translating for herself first.,最初に自分の中で訳さなくなった部分を尋ねる。,248,Original
choice.sne.outside_world_shorthand.defiant,choice,,Say a shared origin does not guarantee the same remembered meaning.,同じ出身でも、記憶された意味まで同じとは限らないと告げる。,248,Original
dlg.sne.outside_world_shorthand.instructions,dialogue,char.sanae_kochiya,"Think of this as changing platforms before the last train. Dry offerings transfer here, tea goes express to the residence, and the mountain path is our convenience-store restock route.",「終電前の乗り換えだと思ってください。乾いた供物はここで積み替え、お茶は社務所への急行、山道はコンビニの補充経路です。」,248,Original
dlg.sne.outside_world_shorthand.correction,dialogue,char.sanae_kochiya,"Except the last train waits for the tengu wind, the express is carried by hand, and no convenience store closes its road because a kappa is repairing a waterfall. That used to be a cleaner metaphor.",「でも終電は天狗の風を待ち、急行は手で運び、滝を修理する河童のせいで道を閉じるコンビニもありませんね。昔はもっと単純なたとえだったのに。」,248,Original
dlg.sne.outside_world_shorthand.direct,dialogue,char.sanae_kochiya,"No, they are mine now. The old structure stayed useful, but every important exception came from living here long enough to stop calling it an exception.",「ええ、もう私の言葉ですね。昔の枠組みは便利なままですが、大事な例外は全部、ここで暮らして例外と呼ばなくなったものです。」,248,Original
dlg.sne.outside_world_shorthand.playful,dialogue,char.sanae_kochiya,"Only on local service. The express uses a ropeway and complains less. I can keep one joke, provided the label still tells a tired person where to carry the tea.",「各駅停車だけです。急行は索道で、文句も少ないです。疲れた人がお茶を運ぶ先を読めるなら、冗談を一つ残してもいいでしょう。」,248,Original
dlg.sne.outside_world_shorthand.patient,dialogue,char.sanae_kochiya,"Wind. I wrote 'delay for wind' without explaining that wind might be a colleague, a warning, or part of the ritual. I didn't notice how much context I carry without words.",「風です。風が同僚か、警告か、儀式の一部かもしれない説明もなく、『風のため遅延』と書きました。言葉にせず運ぶ文脈が、こんなに増えたとは気づきませんでした。」,248,Original
dlg.sne.outside_world_shorthand.defiant,dialogue,char.sanae_kochiya,"Agreed. We can both remember a convenience store and still mean different nights, different distances, different kinds of relief. I should ask before calling a memory shared.",「その通りです。同じコンビニを覚えていても、夜も距離も、ほっとする理由も違う。記憶を共有物と呼ぶ前に、確かめるべきですね。」,248,Original
dlg.sne.outside_world_shorthand.after_recognition,dialogue,char.sanae_kochiya,"I thought adaptation would feel like losing vocabulary. Instead I kept the old words and changed what they can carry. That is not forgetting; it is competence with a history.",「順応は語彙を失う感覚だと思っていました。でも昔の言葉を残したまま、運べる意味を変えたんですね。忘却ではなく、来歴のある技術です。」,248,Original
dlg.sne.outside_world_shorthand.after_relabel,dialogue,char.sanae_kochiya,"The notebook stays. The crates get names the next worker can use without sharing either of our pasts. Shorthand should save labor, not demand a matching life.",「速記帳は残します。木箱には、次の人が私たちの過去を共有していなくても使える名前を付けます。速記は手間を省くもので、同じ人生を要求するものではありません。」,248,Original
journal.sne.outside_world_shorthand.title,journal_title,,A Language With Two Weathers,二つの天気を持つ言葉,248,Original
journal.sne.outside_world_shorthand.body,journal_body,,Sanae's Outside World shorthand had learned mountain wind, shrine labor, and Gensokyo's travelers. She kept the old notebook but relabeled the working crates for people who did not share her past.,早苗の外の世界の速記は、山風と神社の仕事と幻想郷の旅人を覚えていた。彼女は昔の帳面を残しながら、過去を共有しない人にも分かるよう作業箱の札を付け直した。,248,Original
