key,_context,_speaker,en,ja,_max_width_px,_origin
obj.sne.promise.choose,objective,,"Choose what Sanae's recipes, shrine duties, and still-packed camera may mean.",早苗の料理札と神社の当番と、まだ包まれたカメラが何を意味するか選ぶ。,208,Original
event.sne.promise.title,event_title,,A Miracle With Witnesses,見届け人のいる奇跡,208,Original
choice.sne.promise.friendship,choice,,Exchange imperfect Outside World recipes and one recurring shrine duty.,不完全な外の世界の料理と、繰り返す神社の当番を交換する。,248,Original
choice.sne.promise.romance,choice,,Choose romance; decide separately whether one private photograph may witness it.,恋愛を選び、一枚の私的な写真に見届けてもらうかは別に決める。,248,Original
choice.sne.promise.romance_yes,choice,,Yes. Share this moment in one private photograph.,はい。この瞬間を一枚の私的な写真で分かち合う。,248,Original
choice.sne.promise.romance_no,choice,,Choose romance without a photograph. Leave the camera packed.,写真のない恋愛を選び、カメラは包んだままにする。,248,Original
choice.sne.promise.postponed,choice,,Postpone the relationship label; exchange a recipe without making it payment.,関係の名前は保留し、料理を前払いにせず交換する。,248,Original
choice.sne.promise.undecided,choice,,Claim no future yet; keep the duty roster open and take no photograph.,まだ未来を決めず、当番表を開いたまま写真を撮らない。,248,Original
dlg.sne.promise.preparation,dialogue,char.sanae_kochiya,"I brought three things and kept them separate: recipes neither of us remembers perfectly, a shrine duty roster, and a camera that is still packed.",「三つ持ってきて、別々に置きました。二人とも完全には覚えていない料理、神社の当番表、それから、まだ包んだままのカメラです。」,248,Original
dlg.sne.promise.ask,dialogue,char.sanae_kochiya,"The recipes and duties can recur without deciding our future. The camera cannot decide anything at all. What would you like us to promise, if anything?",「料理と当番は、未来を決めなくても続けられます。カメラは何も決められません。何か約束するとしたら、私たちは何を約束しましょうか。」,248,Original
dlg.sne.promise.friendship,dialogue,char.sanae_kochiya,Bring one recipe you remember incorrectly; I will bring one too. We will cook both after our shared shrine duty and improve neither memory just to make the story cleaner.,「間違って覚えている料理を一つ持ってきてください。私も一つ持ってきます。一緒の当番の後に両方作って、話をきれいにするためだけに記憶を直したりしません。」,248,Original
dlg.sne.promise.romance,dialogue,char.sanae_kochiya,"Then romance is our answer. Separately, before I touch the camera: should one private photograph witness this moment? It will not become shrine publicity, and no changes nothing about the answer we just chose.",「では恋愛が私たちの答えです。別のこととして、カメラに触れる前に尋ねます。この瞬間を一枚の私的な写真に見届けてもらいますか。神社の宣伝には使いません。『いいえ』でも、今選んだ答えは何も変わりません。」,248,Original
dlg.sne.promise.romance_approved,dialogue,char.sanae_kochiya,"Yes received. I will unpack it now, set one frame, and keep one print between us. The photograph witnesses our answer; it does not manufacture it.",「『はい』を受け取りました。今から開き、一枚だけ撮って、焼き増しも二人の間に一枚だけ残します。写真は返事を見届けるもので、返事を作るものではありません。」,248,Original
dlg.sne.promise.romance_declined,dialogue,char.sanae_kochiya,"Then romance without a photograph. The camera stays packed because choosing me did not grant permission to make an image. We can still cook, finish today's duty, and keep the answer we chose.",「では写真のない恋愛です。私を選んでも、像を作る許可まで与えたことにはならないので、カメラは包んだままにします。料理も今日の当番も続け、選んだ答えもそのままです。」,248,Original
dlg.sne.promise.postponed,dialogue,char.sanae_kochiya,"Then the label waits. Choose a recipe for tonight, not as an advance payment on another future. Ordinary exchange must remain complete even if the question changes.",「では名前は待ちます。今夜の料理を選んでください。別の未来への前払いではなく。問いが変わっても、普通の交換はそれだけで完結していなければ。」,248,Original
dlg.sne.promise.undecided,dialogue,char.sanae_kochiya,Undecided is enough. I will close the camera compartment and leave the duty roster open. A future can remain unclaimed without making today's work or company incomplete.,「未定で十分です。カメラの場所は閉じ、当番表は開いておきます。未来を誰のものにしなくても、今日の仕事や時間は不完全になりません。」,248,Original
journal.sne.promise.friendship.title,journal_title,,Recipes After Shrine Duty,当番の後の料理,248,Original
journal.sne.promise.friendship.body,journal_body,,Friendship became a recurring exchange of imperfect Outside World recipes after shared shrine duties. Neither memory had to be corrected into a cleaner story.,友情は、一緒の神社当番の後に、不完全な外の世界の料理を交換する習慣になった。どちらの記憶も、きれいな話へ修正する必要はなかった。,248,Original
journal.sne.promise.romance.title,journal_title,,One Photograph After Yes,「はい」の後の一枚,248,Original
journal.sne.promise.romance.body,journal_body,,"Sanae kept the camera packed until she asked whether the moment should be shared. After a separate yes, one private photograph witnessed the romantic answer and was never assigned to publicity.",早苗は、この瞬間を分かち合うか尋ねるまでカメラを包んだままにした。別の「はい」の後、一枚の私的な写真が恋愛の返事を見届け、宣伝には一度も割り当てられなかった。,248,Original
journal.sne.promise.romance_declined.title,journal_title,,Romance Without a Photograph,写真のない恋愛,248,Original
journal.sne.promise.romance_declined.body,journal_body,,Romance was chosen explicitly and the separate photograph was declined without penalty. Sanae left the camera packed because choosing a relationship did not grant permission to make an image.,恋愛は明確に選ばれ、別に尋ねられた写真は罰なく断られた。関係を選んでも像を作る許可にはならないため、早苗はカメラを包んだままにした。,248,Original
journal.sne.promise.postponed.title,journal_title,,No Advance Payment,前払いではない交換,248,Original
journal.sne.promise.postponed.body,journal_body,,The relationship label was postponed while an ordinary recipe exchange remained complete in itself—not an advance payment on romance.,関係の名前は保留され、普通の料理交換は、それ自体で完結した。恋愛への前払いにはならなかった。,248,Original
journal.sne.promise.undecided.title,journal_title,,The Open Duty Roster,開いた当番表,248,Original
journal.sne.promise.undecided.body,journal_body,,"No future was claimed and no photograph was taken. The camera compartment closed while the duty roster stayed open, leaving today's company complete.",未来は決められず、写真も撮られなかった。カメラの場所は閉じ、当番表は開いたまま、今日の時間は完結した。,248,Original
