"id","name_en","name_ja","production_tier","region","route_scope","silhouette_key","primary_prop","companion_or_fx_layer","idle_signature","talk_signature","profile_affinity","costume_event_variants","portrait_emphasis","model_s","model_m","model_l","portrait_count"
"alice_margatroid","Alice Margatroid","アリス・マーガトロイド","B","Forest of Magic / magician","Support route with romance-ready expansion","hair ribbon, fitted dress, puppet strings and doll shapes","grimoire / control cross","Shanghai and Hourai doll anchors","fingers tighten one thread while a doll lags one frame","a doll mirrors or contradicts her restrained hand gesture","A/B/C","work apron; rain cloak; formal dollmaker","precision, guarded pride, private softness","2 idle + 4 walk","4 idle + 4 walk + 4 talk + 2 reaction","4–8 dramatic poses","6"
"aunn_komano","Aunn Komano","高麗野 あうん","C","Hakurei Shrine / places of faith across Gensokyo","Support route; shrine guardian and tutorial cameo","komainu ears, curled tail, round chest gem, compact guardian stance","guardian orb / shrine charm","tail and ear child layers","ears scan first, tail follows, feet stay planted","both hands open as if welcoming, then return to guard","A/C","shrine work sash; rain guard; festival guardian","earnest vigilance and uncomplicated delight","2 idle","2 idle + 4 walk + 2 talk/gesture","not required at launch","3"
"aya_shameimaru","Aya Shameimaru","射命丸 文","A","Youkai Mountain / Bunbunmaru Newspaper","Deep route; launch fighter and danmaku lead","tokin cap, wing wedge, camera and notebook, geta stance","camera / feather fan","wings, strap and newspaper layers","camera strap shifts while her eyes keep tracking","camera rises, shutter cuts one frame, then she lowers it only if sincere","A/B/D","press armband; mountain patrol coat; rain cape","professional smile, predatory curiosity, camera-lowered sincerity","2 idle + 4 walk + 2 interact","4 idle + 8 walk + 4 talk + 6 interact + 4 reaction","full fighter/danmaku key set","9"
"byakuren_hijiri","Byakuren Hijiri","聖 白蓮","B","Myouren Temple","Major support; fighter expansion","long two-tone-implied hair, layered monk robes, broad calm sleeves","scroll / lotus light","beads and lotus glyph layer","beads settle after the sleeve, never bouncy","open palm and level gaze; power is shown by stillness","B/C/D","temple work robe; travel mantle; formal sermon robe","compassion, resolve, restrained physical power","2 idle + 4 walk","4 idle + 4 walk + 4 talk + 2 reaction","8–16 boss/fighter key poses","6"
"chen","Chen","橙","C","Yakumo household / Youkai Mountain and Mayohiga","Support route","cat ears, two tails, short dress and quick low stance","claw swipe / charm","two independent tail layers","one tail notices first, the second catches up","leans forward, hands close to chest, tails reveal the real mood","A/D","Mayohiga errands; rain hood; festival ribbon","curiosity, loyalty, sudden embarrassment","2 idle","2 idle + 4 walk + 2 talk/gesture","not required at launch","3"
"cirno","Cirno","チルノ","C","Misty Lake / fairies","Support friendship only","short hair bow, six ice-crystal wing points, wide boastful stance","ice shard","crystal wing layer","wing points jitter in an uneven 2-1 rhythm","hands on hips, then one emphatic point that overshoots","A/D","summer melt gag; winter crown; lake patrol","boast, confusion, stubborn courage","2 idle","2 idle + 4 walk + 2 talk/gesture","not required at launch","3"
"clownpiece","Clownpiece","クラウンピース","C","Hell / Hecatia's subordinate","Support friendship only","jester cap, star-and-stripe geometry, torch and energetic legs","torch","flame and flag-pattern layer","flame changes while the body holds a coiled bounce","torch arcs wide; eyes and cap bells carry the chaos","B/D","Hell patrol; festival torch; moon-surface dust","mischief, bewilderment, dangerous excitement","2 idle","2 idle + 4 walk + 2 talk/gesture","not required at launch","3"
"doremy_sweet","Doremy Sweet","ドレミー・スイート","B","Dream World","Major support","nightcap, soft robe, dream-tail curl and floating orb silhouette","dream orb / pillow","dream bubbles and tail layer","body barely moves while bubbles drift out of phase","reshapes one orb into the subject of the sentence","C/D","sleep-clinic wrap; dream librarian; nightmare inversion","gentle distance, clinical dream-reading, sly amusement","2 idle + 4 walk","4 idle + 4 walk + 4 talk + 2 reaction","4–8 dramatic poses","6"
"eiki_shiki_yamaxanadu","Eiki Shiki, Yamaxanadu","四季映姫・ヤマザナドゥ","B","Higan / Ministry of Right and Wrong","Major support","judge cap, formal robe column and unmistakable rod","Rod of Remorse","verdict tablet layer","nearly motionless; rod angle changes one pixel","rod indicates the issue, not the person, until the final beat","B/C","court formal; field inspection cloak","measured concern, severity, reluctant warmth","2 idle + 4 walk","4 idle + 4 walk + 4 talk + 2 reaction","4–8 dramatic poses","6"
"eirin_yagokoro","Eirin Yagokoro","八意 永琳","A","Eientei / former Lunar sage","Deep route","very long braid, large asymmetric bow, vertical physician posture","vial / bow / medicine case","braid and medicine-case layer","checks one vial label; braid settles late","small hand motion, exact eye line, no wasted flourish","B/D","clinic coat; lunar formal; forest travel mantle","diagnostic calm, dry wit, guarded responsibility","2 idle + 4 walk + 2 interact","4 idle + 8 walk + 4 talk + 6 interact + 4 reaction","full fighter/danmaku key set","9"
"flandre_scarlet","Flandre Scarlet","フランドール・スカーレット","C","Scarlet Devil Mansion","Support route; high-safety writing review","cap, small body and two crystal-laden wing rods","wand / crystal prism","eight crystal children with fixed spacing","crystals rotate one step while her body remains intent","crouches closer or tilts one prism; avoid generic manic bouncing","B/C/D","mansion daywear; supervised garden cape; dream silhouette","intense curiosity, isolation, careful trust","2 idle","2 idle + 4 walk + 2 talk/gesture","not required at launch","3"
"fujiwara_no_mokou","Fujiwara no Mokou","藤原 妹紅","C","Bamboo Forest / immortal wanderer","Support route","long rough hair, trouser silhouette, paper charms and flame tails","fire / paper charm","flame and charm layer","ember rises from a still shoulder line","one hand stays in a pocket until the line matters","A/D","forest guide coat; rain poncho; scorched battle set","blunt help, old exhaustion, competitive spark","2 idle","2 idle + 4 walk + 2 talk/gesture","not required at launch","3"
"hata_no_kokoro","Hata no Kokoro","秦 こころ","B","Menreiki / performance traditions","Support route; fighter expansion","bob hair, broad sleeves and a halo/fan of distinct masks","selected mask / fan","mask wheel companion layer","one mask changes while her face remains neutral","the chosen mask moves to the foreground and supplies the gesture","B/C/D","stage costume; rehearsal plainwear; festival mask set","literal focus, learned emotion, uncanny comedy","2 idle + 4 walk","4 idle + 4 walk + 4 talk + 2 reaction","8–16 boss/fighter key poses","6"
"hatate_himekaidou","Hatate Himekaidou","姫海棠 はたて","C","Youkai Mountain / Kakashi Spirit News","Support route","tengu cap, twin hair masses, compact wings and phone-camera rectangle","spirit camera / phone","wings and developed-photo layer","thumb scrolls; wings react after she finds something","shows a photo rather than performing a grand reporter pose","A/B","newsroom vest; rain cover; mountain casual","skepticism, competitive interest, reluctant admiration","2 idle","2 idle + 4 walk + 2 talk/gesture","not required at launch","3"
"hecatia_lapislazuli","Hecatia Lapislazuli","ヘカーティア・ラピスラズリ","B","Hell / Earth, Moon, and Otherworld","Major support / late-game challenge","collar and chain, casual dress, three unmistakable planet spheres","planet sphere","three orbiting world layers","worlds rotate at different periods while she slouches casually","one world replaces another at the point of emphasis","C/D","Earth casual; Moon formal; Otherworld inversion","casual cosmic authority, humor, sudden seriousness","2 idle + 4 walk","4 idle + 4 walk + 4 talk + 2 reaction","4–8 dramatic poses","6"
"hieda_no_akyuu","Hieda no Akyuu","稗田 阿求","B","Human Village / Gensokyo Chronicle","Major support","short formal hair, flower ornament, kimono block and book/brush","chronicle / brush","page and ink-stamp layer","brush pauses above a page; breath is minimal","turns the book toward the listener, then withholds one line","A/B/C","archive work; village formal; winter writing layer","observant courtesy, mortality-aware resolve, quiet mischief","2 idle + 4 walk","4 idle + 4 walk + 4 talk + 2 reaction","4–8 dramatic poses","6"
"hina_kagiyama","Hina Kagiyama","鍵山 雛","C","Youkai Mountain forest / misfortune god","Support route","many ribbons, spiral skirt and circular misfortune silhouette","misfortune amulet","ribbon spiral layer","slow quarter-turn; ribbons lag in alternating directions","stops the spin for one direct sentence","A/D","forest work; festival purification; storm set","gentleness, ritual caution, lonely humor","2 idle","2 idle + 4 walk + 2 talk/gesture","not required at launch","3"
"hong_meiling","Hong Meiling","紅 美鈴","C","Scarlet Devil Mansion","Support route","star cap, braid, qipao mass and grounded martial stance","fists / gate staff","braid and leaf layer","weight shifts through the feet, braid follows","salute, open palm or compact martial explanation","A/B/D","gate uniform; garden work; formal guard coat","warm competence, sleepy humor without incompetence","2 idle","2 idle + 4 walk + 2 talk/gesture","not required at launch","3"
"ichirin_kumoi","Ichirin Kumoi","雲居 一輪","C","Myouren Temple","Support route","hooded short figure paired with an enormous cloud-fist silhouette","prayer ring","Unzan full companion layer","her sleeve moves first; Unzan answers a beat later","small gesture from Ichirin, huge restrained echo from Unzan","A/D","temple chores; sailor travel; storm battle","practical faith, partnership, competitive confidence","2 idle","2 idle + 4 walk + 2 talk/gesture","not required at launch","3"
