key,context,speaker,en,ja,max_width_px,origin
obj.mrs.crash.secure_cargo,objective,,Secure the cargo before the books reach the spores.,本が胞子に届く前に荷物を固定する。,208,Original
event.mrs.crash_landing.title,event_title,,Crash Landing With Cargo,荷物つき不時着,208,Original
choice.mrs.crash.direct,choice,,Ask what must be returned first.,先に返すべき物を聞く。,248,Original
choice.mrs.crash.playful,choice,,Offer to carry the bag if she flies more carefully.,もっと慎重に飛ぶなら鞄を持つと言う。,248,Original
choice.mrs.crash.patient,choice,,Ask to read the cargo list before touching anything.,触る前に荷物の一覧を見せてほしいと言う。,248,Original
choice.mrs.crash.defiant,choice,,Say a fast landing still needs a safe passenger.,速い着陸でも同乗者の安全は要ると言う。,248,Original
dlg.mrs.crash.intro,dialogue,char.marisa_kirisame,"Catch the blue one. That book bites when it is embarrassed.",「青いのを取ってくれ。あの本、照れると噛むんだ。」,248,Original
dlg.mrs.crash.work,dialogue,char.marisa_kirisame,"Three borrowed books, one thing I promised to return, and no time to make this look graceful.",「借りた本が三冊、返すって約束した物が一つ。優雅に見せる時間はないぜ。」,248,Original
dlg.mrs.crash.direct,dialogue,char.marisa_kirisame,"The return goes first. Borrowing only stays funny if I remember the way back.",「返す物が先。借りるのが冗談で済むのは、帰り道を覚えてる時だけだ。」,248,Original
dlg.mrs.crash.playful,dialogue,char.marisa_kirisame,"Deal. Hold the bag tight; careful is a direction, not a speed.",「決まりだ。鞄をしっかり持て。慎重ってのは速度じゃなくて方向だぜ。」,248,Original
dlg.mrs.crash.patient,dialogue,char.marisa_kirisame,"Fine. The list is real. The scribbles are where I learned not to crash twice.",「いいぜ。一覧は本物だ。落書きは二度同じ墜落をしないための記録。」,248,Original
dlg.mrs.crash.defiant,dialogue,char.marisa_kirisame,"Fair. You call the cargo; I call the wind. Nobody gets thrown out to prove a point.",「もっともだ。荷物はお前が見る、風は私が見る。ただ意地を証明するために、誰も振り落とさない。」,248,Original
dlg.mrs.crash.clear,dialogue,char.marisa_kirisame,"That was clean. You have the hands for a backseat job.",「きれいだった。後ろの席の仕事に向いてるな。」,248,Original
dlg.mrs.crash.rough,dialogue,char.marisa_kirisame,"Rough is fine. We landed, the books are whole, and now we write down why.",「荒っぽくてもいい。着いたし、本は無事。次は理由を書けばいい。」,248,Original
dlg.mrs.crash.after,dialogue,char.marisa_kirisame,"Here. This was not mine to keep. The rest can wait until I ask.",「ほら。これは私が持ってていい物じゃない。残りは、聞いてからにする。」,248,Original
journal.mrs.crash_landing.title,journal_title,,Return Before Borrowing,借りる前に返す,248,Original
journal.mrs.crash_landing.body,journal_body,,Marisa made the landing noisy but kept a manifest, a returned object, and room for someone else to say what was safe.,魔理沙の着陸は騒がしかったが、荷物の一覧と返す物、それから誰かが安全を言える余地を残していた。,248,Original
