key,_context,_speaker,en,ja,_max_width_px,_origin
obj.ein.mokou_uninvited_honesty.choose,objective,,Choose how to answer Mokou's warning about immortal rivalry.,不死者同士の宿怨についての妹紅の警告にどう答えるか選ぶ。,208,Original
event.ein.mokou_uninvited_honesty.title,event_title,,Mokou's Uninvited Honesty,妹紅の招かれざる本音,208,Original
choice.ein.mokou_uninvited_honesty.direct,choice,,Ask what conduct would keep this from becoming a weapon.,これを武器にしないために何を守るべきか尋ねる。,248,Original
choice.ein.mokou_uninvited_honesty.playful,choice,,Ask them to name one rivalry rule that protects everyone else.,他の人を守る宿敵同士の規則を一つ決めようと言う。,248,Original
choice.ein.mokou_uninvited_honesty.patient,choice,,Listen to the warning without rushing to defend Kaguya.,輝夜を急いでかばわず、警告を聞く。,248,Original
choice.ein.mokou_uninvited_honesty.defiant,choice,,Refuse to be claimed or judged by an endless feud.,終わらない宿怨に所有も判定もされることを断る。,248,Original
dlg.ein.mokou_uninvited_honesty.intro,dialogue,char.fujiwara_no_mokou,I did not come to bless this. I came because immortals get good at using other people as reasons to keep an old fight warm.,「これを祝福しに来たわけじゃない。不死者は、古い喧嘩を温め続ける理由に他人を使うのが上手くなるから、来ただけだ。」,248,Original
dlg.ein.mokou_uninvited_honesty.rivalry,dialogue,char.kaguya_houraisan,"How unusually considerate of you, Mokou. But she is correct about the danger. Our hostility is history, not a verdict on anyone standing near it.",「ずいぶんと思いやり深いこと、妹紅。でも危険については正しいわ。私たちの敵意は歴史であって、そばに立つ誰かへの判決ではないの。」,248,Original
dlg.ein.mokou_uninvited_honesty.direct,dialogue,char.fujiwara_no_mokou,"Start by not asking either of us to approve it. If you see us turning your life into leverage, say so, and walk away if saying so is not enough.",「まず、どっちかの許可を求めないことだ。あたしたちがあんたの人生を駆け引きに使ったら、そう言え。言うだけで足りないなら、立ち去れ。」,248,Original
dlg.ein.mokou_uninvited_honesty.playful,dialogue,char.kaguya_houraisan,"One rule, then: no one else becomes the prize, the audience, or the excuse. Annoyingly sensible. I expect Mokou will pretend not to enjoy it.",「では一つ規則を。ほかの誰も、賞品にも、観客にも、言い訳にもならない。困るほど分別があるわ。妹紅は楽しんでいないふりをするでしょうね。」,248,Original
dlg.ein.mokou_uninvited_honesty.patient,dialogue,char.fujiwara_no_mokou,Good. I did not need a defense of her. I needed you to hear that an endless fight makes even ordinary closeness look like territory if nobody interrupts it.,「いい。あいつをかばってほしかったんじゃない。終わらない喧嘩は、誰も止めなければ普通の親しさまで縄張りに見せるって、聞いてほしかった。」,248,Original
dlg.ein.mokou_uninvited_honesty.defiant,dialogue,char.kaguya_houraisan,"A lucid refusal. Neither of us owns the ground you stand on, and our feud does not appoint us your judges. Keep that sentence sharp.",「明晰な拒絶ね。あなたが立つ地面を、私たちのどちらも所有しない。宿怨が私たちをあなたの裁判官に任じることもない。その言葉は鋭いままにして。」,248,Original
dlg.ein.mokou_uninvited_honesty.after,dialogue,char.fujiwara_no_mokou,"That is all I came to say. I am leaving because I want to, not because either of you won a point. Do not make a ceremony out of it.",「言いに来たのはそれだけだ。あたしが帰るのは帰りたいからで、どっちかが一点取ったからじゃない。儀式みたいにするなよ。」,248,Original
journal.ein.mokou_uninvited_honesty.title,journal_title,,No Prize in the Fire,火の中の賞品なし,248,Original
journal.ein.mokou_uninvited_honesty.body,journal_body,,"Mokou named the cost of an endless rivalry: other people can become territory, proof, or leverage without anyone noticing. The warning was heard without asking either immortal to own or approve a finite relationship.",妹紅は終わらない宿怨の代償を名づけた。気づかぬうちに他人が縄張りや証拠や駆け引きになる。どちらの不死者にも、限りある関係を所有も許可もさせず、その警告を受け取った。,248,Original
