key,context,speaker,en,ja,max_width_px,origin
obj.rml.fate_she_does_not_announce.compare_plan,objective,,Compare the revised route, unopened invitation, and Sakuya's change ledger.,改められた経路、未開封の招待状、咲夜の変更記録を照らし合わせる。,208,Original
event.rml.fate_she_does_not_announce.title,event_title,,The Fate She Does Not Announce,告げられない運命,208,Original
choice.rml.fate_she_does_not_announce.direct,choice,,Thank Remilia for choosing the inconvenience—not for proving fate.,運命を証明したことではなく、手間を選んだことについてレミリアに礼を言う。,248,Original
choice.rml.fate_she_does_not_announce.playful,choice,,Accept her coincidence story and compliment its improved moonlight.,偶然という彼女の話に乗り、よくなった月明かりを褒める。,248,Original
choice.rml.fate_she_does_not_announce.patient,choice,,Help only with the route labels Sakuya assigns and demand no confession.,咲夜が任せた経路札だけを手伝い、告白は求めない。,248,Original
choice.rml.fate_she_does_not_announce.defiant,choice,,Say that protection arranged without consultation is still another script.,相談なしに整えられた保護も、別の台本には違いないと言う。,248,Original
dlg.rml.fate_she_does_not_announce.evidence,dialogue,char.sakuya_izayoi,"The east-balcony reception moved west. Lady Remilia approved it; I redrew three service routes. Archive residue appeared exactly where you would have stood. Before thanking anyone, note the labor as well as the result.",「東の露台での接待は西へ移りました。お嬢様が承認し、私が給仕経路を三本引き直しました。あなたが立つはずだった場所には、ちょうど書庫の残滓が出ています。誰かに礼を言う前に、結果だけでなく作業もご確認ください。」,248,Original
dlg.rml.fate_she_does_not_announce.deflection,dialogue,char.remilia_scarlet,"What an elaborate coincidence. The west gallery needed better moonlight, and Sakuya dislikes inefficient catastrophes. I see no reason to publish a heroic edition.",「ずいぶん手の込んだ偶然ね。西の回廊にはもっとよい月明かりが必要で、咲夜は非効率な惨事が嫌い。それを英雄譚として発行する理由はないわ。」,248,Original
dlg.rml.fate_she_does_not_announce.direct,dialogue,char.remilia_scarlet,"Thank me for taste, if you must. But yes—I chose the inconvenience after seeing the risk. A choice is sufficient; it does not need to impersonate fate.",「どうしてもなら、趣味のよさに礼を言いなさい。でも、そうね。危険を見てから、私は手間のかかる方を選んだ。選択だけで十分よ。運命のふりをする必要はないわ。」,248,Original
dlg.rml.fate_she_does_not_announce.playful,dialogue,char.remilia_scarlet,"Coincidence has standards in this house. It now expects you in the west gallery, where the moonlight and emergency exits are both superior.",「この館の偶然には基準があるの。今は西の回廊であなたを待っているわ。月明かりも非常口も、そちらの方が上等よ。」,248,Original
dlg.rml.fate_she_does_not_announce.patient,dialogue,char.remilia_scarlet,"Sakuya has prevented caution from becoming chaos. Take only the labels she gives you. Assistance that ignores her plan would merely create a fourth route to redraw.",「咲夜が用心を混乱に変えずに済ませた。彼女が渡す札だけを扱いなさい。計画を無視した手伝いでは、引き直す道が四本目になるだけよ。」,248,Original
dlg.rml.fate_she_does_not_announce.defiant,dialogue,char.remilia_scarlet,"That objection is correct. Protection arranged around you can become another script written over you. Next time I will warn you, and you may disagree before I move the room.",「その異議は正しいわ。あなたを囲むように整えた保護は、あなたの上に書かれた別の台本にもなり得る。次は先に知らせる。部屋を動かす前に、反対してもいいわ。」,248,Original
dlg.rml.fate_she_does_not_announce.after,dialogue,char.remilia_scarlet,"The public notice will say the reception moved for moonlight. Sakuya's ledger will say what it cost. You may remember the unopened invitation; you may not turn it into my monument.",「公示には月明かりのため接待を移したと書く。何が必要だったかは咲夜の記録に残る。未開封の招待状を覚えていてもいい。でも、私の記念碑にはしないことね。」,248,Original
journal.rml.fate_she_does_not_announce.title,journal_title,,A Route Changed Quietly,静かに変わった経路,248,Original
journal.rml.fate_she_does_not_announce.body,journal_body,,A revised plan and Sakuya's recorded labor showed that Remilia chose to move the protagonist away from danger. She refused public credit, while accepting that future protection must leave room for warning and disagreement.,改められた計画と咲夜の作業記録から、レミリアが主人公を危険から遠ざける選択をしたと分かった。彼女は公の功績を拒みつつ、次の保護には事前の知らせと反対の余地が必要だと認めた。,248,Original
