key,_context,_speaker,en,ja,_max_width_px,_origin
obj.yyk.lightness_not_shallowness.read_boundary,objective,,Notice the stopped fan and let Yuyuko choose the memorial's mood.,止まった扇に気づき、慰霊の場の調子を幽々子自身に選ばせる。,208,Original
event.yyk.lightness_not_shallowness.title,event_title,,Do Not Treat Lightness as Shallowness,軽やかさを浅さと思わないで,208,Original
choice.yyk.lightness_not_shallowness.direct,choice,,Apologize for demanding solemnity and ask what help matches her chosen mood.,厳粛さを求めたことを謝り、彼女が選んだ調子に合う手伝いを尋ねる。,248,Original
choice.yyk.lightness_not_shallowness.playful,choice,,Accept the boundary and ask whether the rebellious ribbon needs an accomplice.,境界を受け入れ、反抗的な飾り紐に共犯者が要るか尋ねる。,248,Original
choice.yyk.lightness_not_shallowness.patient,choice,,Stop speaking and wait until Yuyuko moves her fan again.,話すのをやめ、幽々子が再び扇を動かすまで待つ。,248,Original
choice.yyk.lightness_not_shallowness.defiant,choice,,Reject the rule that care must wear solemnity to count as real.,気遣いが本物と認められるには厳粛さをまとうべきだという規則を退ける。,248,Original
dlg.yyk.lightness_not_shallowness.light_mood,dialogue,char.yuyuko_saigyouji,This memorial ribbon refuses to hang straight. How reassuring—at least one guest has arrived with enough spirit to argue with gravity.,「この慰霊の飾り紐、まっすぐ下がるのを嫌がっているわ。安心ね。重力と口論する元気のある客が、少なくとも一人は来たみたい。」,248,Original
dlg.yyk.lightness_not_shallowness.refusal,dialogue,char.yuyuko_saigyouji,No. You asked me to be serious as though solemnity would prove I understand what we are preparing. You may not choose my expression for me.,「いいえ。あなたは、厳粛なら私が何を準備しているか理解している証明になるかのように、真面目にしろと言った。私の表し方を、あなたが選んではだめよ。」,248,Original
dlg.yyk.lightness_not_shallowness.direct,dialogue,char.yuyuko_saigyouji,"Apology accepted. I chose a festival mood because the visiting spirits need welcome before they need instruction. Help the ribbons look alive, not obedient.",「謝罪は受け取るわ。訪れる幽霊には説明より先に歓迎が必要だから、祭りの調子を選んだの。紐を従順ではなく、生き生き見えるよう手伝って。」,248,Original
dlg.yyk.lightness_not_shallowness.playful,dialogue,char.yuyuko_saigyouji,"Now that joke was offered after listening. Yes, give the ribbon an accomplice. Two crooked bows may become a style before anyone can correct them.",「今の冗談は、ちゃんと聞いた後に差し出されたわね。ええ、紐に共犯者を。曲がった結びが二つあれば、直される前に様式になるかもしれないもの。」,248,Original
dlg.yyk.lightness_not_shallowness.patient,dialogue,char.yuyuko_saigyouji,"There. The fan moves because I chose to move it, not because silence forced an apology from me. You may take the blue ribbon now.",「ほら。沈黙に謝罪を強いられたからではなく、私が動かすと決めたから扇が動く。青い紐を取っていいわ。」,248,Original
dlg.yyk.lightness_not_shallowness.defiant,dialogue,char.yuyuko_saigyouji,"Exactly. Grief does not become honest by dressing for an audience. Care may wear bright ribbon, laugh softly, and still know every name it is carrying.",「その通り。悲しみは観客のために着飾っても正直にはならない。気遣いは明るい紐をまとい、静かに笑いながら、それでも運ぶ名をすべて知っていられるわ。」,248,Original
dlg.yyk.lightness_not_shallowness.after,dialogue,char.yuyuko_saigyouji,"I know the memorial's weight. I chose lightness because the guests need room to arrive without performing sorrow. When my fan stops, respect the boundary. When it moves, do not call it shallow.",「この慰霊の重さは知っている。客が悲しみを演じずに訪れられる余地が必要だから、軽やかさを選んだの。扇が止まったら境界を尊重して。動いたら、浅いと呼ばないで。」,248,Original
journal.yyk.lightness_not_shallowness.title,journal_title,,The Ribbon That Refused to Hang Straight,まっすぐ下がらない飾り紐,248,Original
journal.yyk.lightness_not_shallowness.body,journal_body,,"The protagonist demanded solemnity as proof of understanding and caused real strain. Yuyuko refused the imposed mood, then kept a light festival welcome that fully recognized the memorial's weight.",主人公は理解の証明として厳粛さを求め、実際に緊張を生んだ。幽々子は押しつけられた調子を拒み、慰霊の重さを十分に知ったまま、軽やかな祭りの歓迎を保った。,248,Original
