key,_context,_speaker,en,ja,_max_width_px,_origin
obj.yyk.feast_without_ending.inspect,objective,,"Compare the replenishing bowl's first, second, and third identical servings.",補充され続ける椀の、一度目、二度目、三度目の同じ料理を比べる。,208,Original
event.yyk.feast_without_ending.title,event_title,,The Feast Without an Ending,終わりのない宴,208,Original
choice.yyk.feast_without_ending.direct,choice,,Say endless replenishment has removed the choice of a next bite.,果てしない補充が、次の一口を選ぶことを奪ったと言う。,248,Original
choice.yyk.feast_without_ending.playful,choice,,Call it an infinite menu containing only one repeated word.,一つの言葉だけが繰り返される無限の献立だと呼ぶ。,248,Original
choice.yyk.feast_without_ending.patient,choice,,Stop eating and leave the decision to end with Yuyuko.,食べるのをやめ、終わらせる決断を幽々子に任せる。,248,Original
choice.yyk.feast_without_ending.defiant,choice,,Reject the Archive's claim that more food is the same as more care.,料理を増やすことが気遣いを増やすことと同じだという書庫の主張を退ける。,248,Original
dlg.yyk.feast_without_ending.taste_fades,dialogue,char.yuyuko_saigyouji,The first bite tasted of plum. The second tasted like the memory of plum. The third tastes like a receipt proving I received plum. The bowl is becoming very administrative.,「一口目は梅の味。二口目は梅の記憶の味。三口目は梅を受け取った証明書の味。この椀、ずいぶん事務的になってきたわ。」,248,Original
dlg.yyk.feast_without_ending.boundary,dialogue,char.yuyuko_saigyouji,Do not turn it over for me. The Archive wants hunger to continue after satisfaction so it can call repetition generosity. I will decide when my feast ends.,「私の代わりに伏せないで。書庫は満ちた後も空腹を続けさせ、繰り返しを寛大さと呼びたいの。私の宴がいつ終わるかは、私が決めるわ。」,248,Original
dlg.yyk.feast_without_ending.direct,dialogue,char.yuyuko_saigyouji,"Yes. A next bite means choosing after the last one. When the bowl erases the interval, it offers quantity while removing appetite's only interesting verb.",「ええ。次の一口とは、前の一口の後で選ぶこと。椀がその間を消せば、量を差し出しながら、食欲から唯一面白い動詞を奪うのよ。」,248,Original
dlg.yyk.feast_without_ending.playful,dialogue,char.yuyuko_saigyouji,A very long menu that says 'again' on every page. Even the joke has lost its flavor by this sentence. We should not force it through another course.,「すべての頁に『もう一度』と書かれた、とても長い献立ね。この一文でもう冗談まで味を失った。次の料理まで無理に続けるべきではないわ。」,248,Original
dlg.yyk.feast_without_ending.patient,dialogue,char.yuyuko_saigyouji,Thank you. Silence after a course is where a host hears whether anyone wants another. This bowl has been answering over us. I have heard enough.,「ありがとう。一品の後の沈黙で、主人は誰かがお代わりを望むか聞ける。この椀は私たちを遮って答え続けていた。もう十分聞いたわ。」,248,Original
dlg.yyk.feast_without_ending.defiant,dialogue,char.yuyuko_saigyouji,"More is not care when no one may refuse it, taste it anew, or reach the clearing afterward. Generosity requires a hand that can stop offering.",「断ることも、新しく味わうことも、その後の空き地へ辿り着くこともできないなら、多さは気遣いではない。寛大さには、差し出すのを止められる手が要るわ。」,248,Original
dlg.yyk.feast_without_ending.after,dialogue,char.yuyuko_saigyouji,Enough. A meal that cannot finish cannot be hosted; it can only continue. I choose the difference. The last course is the bowl turned over by its own host.,「もう十分。終われない食事はもてなせない。ただ続くだけ。私はその違いを選ぶわ。最後の一品は、主人自身が伏せた椀よ。」,248,Original
journal.yyk.feast_without_ending.title,journal_title,,The Bowl Turned Over,伏せられた椀,248,Original
journal.yyk.feast_without_ending.body,journal_body,,"The Archive replenished food until taste and choice disappeared. Yuyuko refused to let the protagonist end it for her, then turned the bowl over herself because hosting, appetite, and generosity all require the ability to stop.",書庫は味と選択が消えるまで料理を補充した。幽々子は主人公に代わって終わらせることを許さず、もてなしも食欲も寛大さも止められることを必要とするから、自ら椀を伏せた。,248,Original
