key,context,speaker,en,ja,max_width_px,origin
obj.eir.do_not_volunteer.withdraw,objective,,"Withdraw the volunteer offer, keep the Archive sample sealed, and accept the missing result.",志願の申し出を撤回し、アーカイブ試料を封じたまま、欠けた結果を受け入れる。,208,Original
event.eir.do_not_volunteer.title,event_title,,Do Not Volunteer as an Experiment,実験台に志願しないで,208,Original
dlg.eir.do_not_volunteer.context,dialogue,char.reisen_udongein_inaba,"The Archive demanded a living comparison before dusk. We had already agreed the result could stay blank. Then you wrote your own name in the subject field so no one else would be asked.",「アーカイブは日暮れまでに生体比較を求めていました。結果は空白のままでよいと、すでに決めていたのに。誰かほかの人が被験者にされないよう、あなたは被験者欄へ自分の名を書いた。」,248,Original
choice.eir.do_not_volunteer.direct,choice,,Withdraw it. My body is not lab equipment.,撤回する。私の体は実験器具ではない。,248,Original
choice.eir.do_not_volunteer.playful,choice,,Withdraw it. Let the proposal fail.,撤回する。失敗するのは提案だけでいい。,248,Original
choice.eir.do_not_volunteer.patient,choice,,Withdraw it. Listen without bargaining.,撤回して、取引を持ち出さずに聞く。,248,Original
choice.eir.do_not_volunteer.defiant,choice,,Withdraw it. No result is owed a body.,撤回する。どんな結果も体を代価にはできない。,248,Original
dlg.eir.do_not_volunteer.stop,dialogue,char.eirin_yagokoro,"Put it down. That was not courage, and it was not consent. You offered the one subject whose fear and injury you are least qualified to discount: yourself.",「置きなさい。それは勇気でも同意でもありません。恐怖や傷を最も軽く見てはいけない被験者を、あなたは差し出した。あなた自身を。」,248,Original
dlg.eir.do_not_volunteer.reisen_close,dialogue,char.reisen_udongein_inaba,"The protocol is closed. The sample stays sealed, there is no replacement subject, and the result remains unknown.",「手順を中止しました。試料は封じたまま、代わりの被験者も置かず、結果は不明のままです。」,248,Original
dlg.eir.do_not_volunteer.anger,dialogue,char.eirin_yagokoro,"Do not rename self-discount as volunteering. A yes produced by believing everyone else is worth more is not clean consent, even when you say it calmly.",「自分を軽く扱うことを志願と言い換えないで。ほかの全員の方が価値があると思って出す『はい』は、落ち着いて口にしても、自由な意思による同意とは言えません。」,248,Original
dlg.eir.do_not_volunteer.direct,dialogue,char.eirin_yagokoro,"Good. Say it exactly. Your body is not a tool my competence may authorize, and withdrawing the offer is not cowardice.",「よろしい。正確に言いなさい。あなたの体は、私の技量で使用を許可できる道具ではない。申し出の撤回は臆病でもありません。」,248,Original
dlg.eir.do_not_volunteer.playful,dialogue,char.eirin_yagokoro,"The proposal may fail quietly. You may not make your injury the punchline that forgives it. I am not amused, but I accept the withdrawal.",「提案は静かに失敗させればいい。あなたの傷を、提案を許す落ちにしてはいけません。私は笑えないけれど、撤回は受け入れます。」,248,Original
dlg.eir.do_not_volunteer.patient,dialogue,char.eirin_yagokoro,"Then listen. No smaller sacrifice, no safer version of the same bargain, and no promise that you can endure it. The offer ends here.",「では聞きなさい。もっと小さな犠牲も、少し安全に見えるだけの同じ取引も、耐えられるという約束も要りません。申し出はここで終わりです。」,248,Original
dlg.eir.do_not_volunteer.defiant,dialogue,char.eirin_yagokoro,"Correct. The Archive's urgency has no claim on a body. We reject its deadline and keep the blank result.",「その通り。アーカイブの緊急性に体を要求する権利はありません。期限を拒み、空白の結果を残します。」,248,Original
dlg.eir.do_not_volunteer.after_anger,dialogue,char.eirin_yagokoro,"I am angry because you made your continued existence negotiable to solve a problem assigned to me. My competence is not permission to spend you safely.",「私は怒っています。私に課された問題を解くために、あなたは自分が生き続けることを交渉材料にした。私に技量があっても、あなたを代償にしてよいことにはなりません。」,248,Original
dlg.eir.do_not_volunteer.after_unknown,dialogue,char.eirin_yagokoro,"The offer is withdrawn. The blank result remains blank. My anger remains too, not as a fee, but because trust should remember where the boundary is.",「申し出は撤回され、空白の結果は空白のままです。私の怒りも残ります。代償としてではなく、信頼が境界の位置を覚えているために。」,248,Original
journal.eir.do_not_volunteer.title,journal_title,,The Result Left Blank,空白のままの結果,248,Original
journal.eir.do_not_volunteer.body,journal_body,,"Eirin rejected the protagonist's reckless experiment offer, accepted an unknown result, and refused to reward heroic self-sacrifice. Their work together continued, but her anger remained as evidence that a body was never an acceptable research cost.",「永琳は主人公の無謀な実験の申し出を拒み、不明な結果を受け入れ、英雄的な自己犠牲を褒美にしなかった。共同作業は続いたが、体は決して研究の代償にならないという証拠として、彼女の怒りは残った。」,248,Original
