key,ja
event.hkr.empty_cushion.title,空いたままの座布団
obj.hkr.find_second_cup,二つ目の湯呑みが温かい理由を探す。
dlg.hkr.empty_cushion.reimu.001,待ってないわ。二つ目の湯呑みを片づけてなかっただけ。
choice.hkr.empty_cushion.direct,「私のために直したの？」と聞く。
choice.hkr.empty_cushion.playful,「客にはみんな指定席があるの？」と冗談を言う。
choice.hkr.empty_cushion.patient,何も正さず、お茶を注いで席を空けておく。
choice.hkr.empty_cushion.defiant,「戻ってきて嬉しいって言えば？」
dlg.hkr.empty_cushion.reimu.excellent,……温度まで覚えてたのね。変わる前に座りなさい。
dlg.hkr.empty_cushion.reimu.clear,それでいいわ。もう一つの湯呑みを取って。
dlg.hkr.empty_cushion.reimu.loss,熱すぎ。ちょっとどいて、私が直す。
dlg.hkr.empty_cushion.reimu.direct,座布団を直しただけよ。大事なことにしないで。
dlg.hkr.empty_cushion.reimu.playful,指定席は別料金よ。お茶のあとで払って。
dlg.hkr.empty_cushion.reimu.patient,……少なくとも、黙るタイミングがわかる人はいるのね。
dlg.hkr.empty_cushion.reimu.defiant,嬉しいとしても、あなたに代わりに言われる筋合いはないわ。
dlg.hkr.empty_cushion.reimu.stain,湯呑みを置いて。賽銭箱の下の染みが動いてる。
dlg.hkr.empty_cushion.reimu.danmaku_clear,よし。床の一部のふりをするのはやめたみたい。
dlg.hkr.empty_cushion.reimu.danmaku_assist,最後の端は私が封じる。湯呑みから遠ざけたのは上出来。
dlg.hkr.empty_cushion.reimu.danmaku_loss,下がって。染みに言い負かされても、生きてれば続きはある。
dlg.hkr.empty_cushion.marisa.terms_intro,境界の話をつけるなら、スペルカードの条件も決めようぜ。
dlg.hkr.empty_cushion.reimu.duel_win,二つ封印。いいわ、条件は覚えてたのね。
dlg.hkr.empty_cushion.reimu.duel_loss,条件は成立。再戦の言い分は明日にしなさい。
dlg.hkr.empty_cushion.reimu.afterbeat_01,お茶、冷めたわね。そのままでいい。もう一杯淹れたから。
dlg.hkr.empty_cushion.reimu.afterbeat_02,参道は暗くなるのが早い。門の提灯を持っていきなさい。
dlg.hkr.empty_cushion.reimu.afterbeat_03,客用の布団は干しておいた。
dlg.hkr.empty_cushion.reimu.afterbeat_04,情報よ、招待じゃない。大事なことにしないで。
journal.hkr.empty_cushion.title,空いた二つ目の湯呑み
journal.hkr.empty_cushion.body,着く前から湯呑みは温かかった。座布団はもう片づけられていない。空いている場所も、招待になることがある。
ui.map.travel,移動
ui.common.back,戻る
ui.journal.open,手帳
