key,context,speaker,en,ja,max_width_px,origin
obj.sne.guaranteed_faith.inspect,objective,,Inspect the faith value that cannot fall and the verification lead Sanae has not connected.,下がらない信仰値と、早苗がまだ接続していない検証線を確かめる。,208,Original
event.sne.guaranteed_faith.title,event_title,,Guaranteed Faith,保証された信仰,208,Original
choice.sne.guaranteed_faith.direct,choice,,Faith without the ability to doubt is only recorded compliance.,疑う力のない信仰は、記録された服従にすぎないと告げる。,248,Original
choice.sne.guaranteed_faith.playful,choice,,A guaranteed testimony is an answer key wearing shrine clothes.,保証された証言は、神社の服を着た解答用紙だと言う。,248,Original
choice.sne.guaranteed_faith.patient,choice,,Ask whether a silent or doubting visitor would still be welcome here.,黙っている人や疑う参拝者も、ここで歓迎されるか尋ねる。,248,Original
choice.sne.guaranteed_faith.defiant,choice,,Disconnect it before the counter turns a person into a permanent resource.,計器が人を永久資源にする前に切断しようと告げる。,248,Original
dlg.sne.guaranteed_faith.offer,dialogue,char.sanae_kochiya,"The Archive can verify every prayer and preserve its faith value permanently. No loss, no false negative, no season when the shrine has to wonder whether anyone will return.",「Archiveは全ての祈りを検証し、その信仰値を永久に保存できます。減少も、見落としも、誰かが戻るか神社が悩む季節もありません。」,248,Original
dlg.sne.guaranteed_faith.temptation,dialogue,char.sanae_kochiya,"I want this more than I expected. It would prove my work mattered. It would also keep counting someone after they doubted, left, or changed the answer that first brought them here.",「思った以上に欲しいです。私の仕事に意味があったと証明できる。でも、疑っても、去っても、ここへ来た最初の答えを変えても、その人を数え続ける。」,248,Original
dlg.sne.guaranteed_faith.direct,dialogue,char.sanae_kochiya,"Then the instrument guarantees obedience to a past answer, not living faith. A result that cannot be revised is not evidence; it is custody.",「ならこの装置が保証するのは、生きた信仰ではなく過去の答えへの服従です。修正できない結果は証拠でなく、拘束です。」,248,Original
dlg.sne.guaranteed_faith.playful,dialogue,char.sanae_kochiya,"And I nearly graded myself with it. A testimony worth hearing cannot be copied from the answer sheet I prepared for it.",「しかも私は、それで自分を採点しかけました。聞く価値のある証言は、私が用意した解答用紙から写すものではありません。」,248,Original
dlg.sne.guaranteed_faith.patient,dialogue,char.sanae_kochiya,"Yes. They may stand here silently, doubt every claim, leave without an offering, or return with a different answer. Welcome cannot depend on a stable reading.",「はい。黙って立ち、全てを疑い、供物なしで帰り、別の答えを持って戻ってもいい。歓迎は安定した数値に依存してはいけません。」,248,Original
dlg.sne.guaranteed_faith.defiant,dialogue,char.sanae_kochiya,"Now. A person is not retained capacity for the shrine. If our future needs their answer to remain frozen, then it is not a future they are free to enter.",「今、切ります。人は神社が保持する能力ではありません。私たちの未来が答えの凍結を必要とするなら、それはその人が自由に入れる未来ではない。」,248,Original
dlg.sne.guaranteed_faith.after_disconnect,dialogue,char.sanae_kochiya,"The verification lead is out. The value fell to unknown immediately. I dislike that feeling—and I choose it over a certainty that no worshipper can withdraw.",「検証線を抜きました。値はすぐ不明になりました。この感覚は苦手です。それでも、参拝者が撤回できない確実さより、こちらを選びます。」,248,Original
dlg.sne.guaranteed_faith.after_doubt,dialogue,char.sanae_kochiya,"I used your image before asking because I treated participation as a value I could carry forward. I will repair that mistake in practice: no face, prayer, or belief remains ours after its owner says otherwise.",「私は参加を持ち越せる価値だと思い、尋ねる前にあなたの姿を使いました。実践で直します。本人が違うと言った後まで、顔も祈りも信仰も私たちのものにはしません。」,248,Original
journal.sne.guaranteed_faith.title,journal_title,,The Value Returned to Unknown,不明へ戻った値,248,Original
journal.sne.guaranteed_faith.body,journal_body,,Sanae disconnected a device that could preserve faith only by freezing its owner's first answer. The value returned to unknown, and the shrine remained open to doubt, departure, changed belief, and withdrawn participation.,早苗は、持ち主の最初の答えを凍結してのみ信仰を保存できる装置を切断した。値は不明へ戻り、神社は疑い、離脱、変化した信仰、撤回された参加に開かれたままになった。,248,Original
