key,context,speaker,en,ja,max_width_px,origin
obj.yyk.joke_about_death.notice_protection,objective,,Notice what Yuyuko's joke moved aside and wait for the spirit's own question.,幽々子の冗談が何を脇へ動かしたかに気づき、幽霊自身の問いを待つ。,208,Original
event.yyk.joke_about_death.title,event_title,,A Joke About Death,死についての冗談,208,Original
choice.yyk.joke_about_death.direct,choice,,Say the joke gave the spirit time without pretending nothing changed.,何も変わらなかったふりをせず、冗談が幽霊に時間を与えたと言う。,248,Original
choice.yyk.joke_about_death.playful,choice,,Offer another joke only if the spirit asks for one.,幽霊が望んだ時だけ、もう一つ冗談を差し出す。,248,Original
choice.yyk.joke_about_death.patient,choice,,Let the laughter fade and wait for the spirit to choose a question.,笑いが消えるのを待ち、幽霊が問いを選ぶまで黙る。,248,Original
choice.yyk.joke_about_death.defiant,choice,,Ask whether protection becomes another burden if it chooses the spirit's mood for them.,守る側が幽霊の気分まで決めれば、別の重荷にならないか尋ねる。,248,Original
dlg.yyk.joke_about_death.joke,dialogue,char.yuyuko_saigyouji,"Good news: the Netherworld has no entrance examination. The tea, however, is judged very strictly. This cup has already failed twice, so please rescue it.",「朗報よ。冥界には入門試験がないの。でも、お茶の審査はとても厳しいわ。この一杯はもう二度も落第しているから、どうか救ってあげて。」,248,Original
dlg.yyk.joke_about_death.notice,dialogue,char.yuyuko_saigyouji,"You laughed at the tea. Good. Did you also notice whose hands stopped crushing the crossing notice when I covered it with the cup?",「お茶のところで笑ったわね。よかった。私が杯で渡越通知を隠した時、誰の手がそれを握り潰すのをやめたかにも気づいたかしら。」,248,Original
dlg.yyk.joke_about_death.direct,dialogue,char.yuyuko_saigyouji,"Yes. I did not tell them that nothing changed. I only kept every change from arriving in the same breath. Time can be honest without being cruel.",「そう。何も変わらなかったとは言っていないわ。ただ、すべての変化が同じ一息で押し寄せないようにしただけ。時間は、残酷でなくても正直でいられるもの。」,248,Original
dlg.yyk.joke_about_death.playful,dialogue,char.yuyuko_saigyouji,"One more, if they request it. Hospitality is not a performance we continue after the guest asks for quiet. Even a good joke should know when it has been served.",「望まれたら、もう一つ。客が静けさを求めた後まで続けるのは、もてなしではなく演目よ。よい冗談でも、出番を終える時を知るべきね。」,248,Original
dlg.yyk.joke_about_death.patient,dialogue,char.yuyuko_saigyouji,"There. The fan is still, the room is not rushing them, and now the question belongs to the person who must ask it. We can wait.",「ほら。扇は止まり、部屋も急かしていない。これで問いは、それを尋ねる人自身のものよ。待ちましょう。」,248,Original
dlg.yyk.joke_about_death.defiant,dialogue,char.yuyuko_saigyouji,"It can. A screen that never moves becomes a wall. I will ask whether they want the notice uncovered; protection does not grant me their answer.",「なり得るわ。動かない屏風は壁になるもの。通知を見せてほしいか、本人に尋ねましょう。守ったからといって、答えまで私のものにはならない。」,248,Original
dlg.yyk.joke_about_death.after,dialogue,char.yuyuko_saigyouji,"They were dead before the joke, and the joke did not make death smaller. It made room for the next question to arrive in their own voice. That was enough.",「冗談の前から、その人は亡くなっていた。冗談で死を小さくしたわけではない。その人自身の声で次の問いが来る場所を作っただけ。それで十分よ。」,248,Original
journal.yyk.joke_about_death.title,journal_title,,The Notice Beneath the Teacup,茶碗の下の通知,248,Original
journal.yyk.joke_about_death.body,journal_body,,Yuyuko used a joke to interrupt panic, not to deny death. Once the frightened spirit could choose the next question, she stopped the performance and checked whether her protection was still wanted.,幽々子は死を否定するためでなく、恐慌を中断するために冗談を使った。怯えた幽霊が次の問いを選べるようになると、彼女は演目を止め、その保護がまだ望まれているか確かめた。,248,Original
