key,context,speaker,en,ja,max_width_px,origin
obj.eir.clinic_triage.separate,objective,,"Separate observed signs, patient statements, magical residue, and rumor-stamped symptom cards.",観察した所見、患者自身の説明、魔法の残留、流言印の症状札を分ける。,208,Original
event.eir.clinic_triage.title,event_title,,Clinic Triage,診療所のトリアージ,208,Original
choice.eir.clinic_triage.direct,choice,,"Sort observation, statement, residue, and rumor without calling any one a diagnosis.",観察、説明、残留、流言を分け、どれ一つも診断そのものとは呼ばない。,248,Original
choice.eir.clinic_triage.playful,choice,,"Give Tewi's most dramatic symptom its own ""unverified"" tray.",てゐの最も派手な症状に「未確認」専用の盆を与える。,248,Original
choice.eir.clinic_triage.patient,choice,,Ask what changed and what each patient agrees may be examined.,何が変わったか、何を診てもよいかを患者ごとに尋ねる。,248,Original
choice.eir.clinic_triage.defiant,choice,,Refuse an efficient average that turns several people into one patient.,複数の人を一人の患者にする効率的な平均を拒む。,248,Original
dlg.eir.clinic_triage.eirin_terms,dialogue,char.eirin_yagokoro,"Four trays before any conclusion: what we observe, what the patient says, what magic left behind, and what arrived as rumor. Triage determines the next question, not the whole person.",「結論の前に四つの盆を用意します。観察したもの、患者が語ったもの、魔法が残したもの、流言として届いたもの。トリアージが決めるのは次の問いであって、その人の全てではありません。」,248,Original
dlg.eir.clinic_triage.reisen_intake,dialogue,char.reisen_udongein_inaba,"The patients' words stay in this ledger exactly as given. A sore wrist, interrupted sleep, and dizziness after spell practice may resemble one pattern without sharing one cause.",「患者の言葉は、聞いた通りにこの記録へ残します。手首の痛み、途切れる睡眠、弾幕練習後のめまいは、一つの型に見えても原因まで同じとは限りません。」,248,Original
dlg.eir.clinic_triage.tewi_noise,dialogue,char.tewi_inaba,"I improved the training board. Now it also has moon fever, bamboo allergy, and a tragic shortage of lucky carrots. The paw stamp means I definitely heard it somewhere.",「練習用の板を面白くしておいたよ。月熱、竹アレルギー、それに幸運の人参の悲劇的欠乏も追加。足跡の印は、どこかで聞いた証拠ね。」,248,Original
dlg.eir.clinic_triage.direct,dialogue,char.eirin_yagokoro,"Correct. Evidence earns a label and a next question; it does not earn authority to speak over the patient. A neat column is not yet a diagnosis.",「正しいわ。証拠が得るのは分類名と次の問いです。患者の代わりに語る権限ではない。整った欄も、まだ診断ではありません。」,248,Original
dlg.eir.clinic_triage.playful,dialogue,char.eirin_yagokoro,"An excellent use for the unverified tray. Tewi's carrot deficiency may remain there until it develops evidence, consent, or at least a less theatrical title.",「未確認の盆の優れた使い方ね。てゐの人参欠乏は、証拠か同意か、せめてもう少し芝居がからない名前を得るまで、そこに置きましょう。」,248,Original
dlg.eir.clinic_triage.patient,dialogue,char.eirin_yagokoro,"Yes. Ask before touching, testing, or translating their answer into our terminology. The examination changes when the permitted question changes.",「ええ。触れる前、検査する前、答えをこちらの用語へ訳す前に尋ねます。許された問いが変われば、診察も変わります。」,248,Original
dlg.eir.clinic_triage.defiant,dialogue,char.eirin_yagokoro,"Efficiency cannot create an average patient and then treat the people as deviations. Separate the cards. If the queue slows, the clinic owns that cost.",「効率のために平均的患者を作り、実在する人々を例外扱いしてはいけません。札を分けなさい。列が遅くなるなら、その負担は診療所が引き受けます。」,248,Original
dlg.eir.clinic_triage.clear,dialogue,char.eirin_yagokoro,"The layers are clean. Good triage has produced four smaller uncertainties and four safer next questions. It has not produced a universal answer.",「層はきれいに分かれました。良いトリアージは、四つの小さな不確実さと、四つのより安全な次の問いを作った。万能の答えは作っていません。」,248,Original
dlg.eir.clinic_triage.assist,dialogue,char.eirin_yagokoro,"The Diagnostic Lens reveals which trace a card resembles; it does not decide what the trace means. Assistance may improve visibility without borrowing judgment from the patient.",「診断レンズは札がどの痕跡に似るかを見せますが、意味までは決めません。補助は見やすさを上げても、患者から判断を借りてはいけない。」,248,Original
dlg.eir.clinic_triage.loss,dialogue,char.eirin_yagokoro,"Close this intake lane. We mixed a statement with a rumor, so we return every card and ask again. No patient will pay for our wish to appear fast.",「この受付を閉じます。患者の説明と流言を混ぜたので、全ての札を戻して聞き直します。速く見せたい私たちの都合を、患者に払わせません。」,248,Original
dlg.eir.clinic_triage.after,dialogue,char.eirin_yagokoro,"Tewi's false cards were useful only because we contained them before they became someone else's record. Competence includes knowing what not to combine.",「てゐの偽札が役立ったのは、誰かの診療記録になる前に隔離できたからだけです。何を混ぜてはいけないか知ることも、技量の一部よ。」,248,Original
journal.eir.clinic_triage.title,journal_title,,Four Trays Before a Conclusion,結論の前の四つの盆,248,Original
journal.eir.clinic_triage.body,journal_body,,"Eirin kept observed signs, patient statements, magical residue, and Tewi's rumor cards separate. Triage produced safer next questions without overwriting a patient or pretending to be a final diagnosis.",永琳は観察所見、患者の説明、魔法の残留、てゐの流言札を分けた。トリアージは患者を上書きせず、最終診断を装わず、より安全な次の問いを作った。,248,Original
