key,_context,_speaker,en,ja,_max_width_px,_origin
obj.eir.practical_care.balance,objective,,"Keep consent, Kosuzu's next task, and the centuries-scale orbit error visible without ranking scale as worth.",同意、小鈴の次の作業、数百年規模の軌道誤差を見えるままにし、規模を価値の序列に結びつけない。,208,Original
event.eir.practical_care.title,event_title,,An Immortal's Practical Care,不死者の実際的なケア,208,Original
choice.eir.practical_care.direct,choice,,Ask what Kosuzu's hand must do next.,小鈴が次にその手で何をする必要があるか尋ねる。,248,Original
choice.eir.practical_care.playful,choice,,The moon can wait six attentive minutes.,月には注意深い六分だけ待ってもらう。,248,Original
choice.eir.practical_care.patient,choice,,Hear what the cut changes before acting.,処置する前に、傷で何が変わるかを聞く。,248,Original
choice.eir.practical_care.defiant,choice,,Scale is not worth. Reject that queue.,規模は価値ではない。その順番を拒む。,248,Original
dlg.eir.practical_care.kaguya_chart,dialogue,char.kaguya_houraisan,"The lunar route is wrong by a fraction that becomes a city-width error after three centuries. I brought the original chart, not a summary.",「月の航路にはわずかな誤差があり、三百年後には都一つ分のずれになります。要約ではなく、原図を持ってきました。」,248,Original
dlg.eir.practical_care.kosuzu_cut,dialogue,char.kosuzu_motoori,"The atlas page caught my finger. It is small, but yes, please look. I still have return slips to sort, so I would rather not pretend it changes nothing.",「星図の頁で指を切りました。小さいけれど、はい、診てください。まだ返却票を仕分けるので、何も変わらないふりはしたくありません。」,248,Original
dlg.eir.practical_care.eirin_consent,dialogue,char.eirin_yagokoro,"Consent to examination recorded. That answer does not open the care packet. I will explain its separate scope after I look; it remains sealed until then.",「診察への同意を確認しました。その回答だけでケア用品を開けることはありません。診た後で別の範囲を説明します。それまでは封をしたままです。」,248,Original
dlg.eir.practical_care.eirin_offer,dialogue,char.eirin_yagokoro,"Examination complete. I can offer this sealed care packet for the page work you named. It does nothing beyond that scope and stays closed unless you agree. Do you want it?",「診察は終わりました。あなたが話した頁の作業に合わせて、この封をしたケア用品を提案できます。その範囲を越えて使わず、同意がなければ開けません。受けますか。」,248,Original
dlg.eir.practical_care.kosuzu_scope,dialogue,char.kosuzu_motoori,"Yes, to that packet and no further care today. I need this hand for twelve return slips in the next hour. Plan for that, and stop if I ask.",「はい、その用品だけをお願いします。今日はそれ以上の処置は受けません。この一時間で返却票を十二枚仕分けます。それに合わせて、私が求めたら止めてください。」,248,Original
dlg.eir.practical_care.direct,dialogue,char.eirin_yagokoro,"Exactly. Ask what the hand must do next. Small describes extent, not importance, and it does not answer for Kosuzu.",「その通り。次にその手で何をするかを尋ねます。『小さい』は傷の範囲を表すだけで、重要性ではないし、小鈴の代わりに答えてもくれません。」,248,Original
dlg.eir.practical_care.playful,dialogue,char.eirin_yagokoro,"The moon has survived worse scheduling. Kaguya brought a complete chart; six attentive minutes will not turn it into a lesser problem.",「月はもっとひどい予定変更にも耐えてきました。輝夜が完全な原図を持ってきた以上、小鈴に六分間注意を向けても問題の価値は下がりません。」,248,Original
dlg.eir.practical_care.patient,dialogue,char.eirin_yagokoro,"Good. Kosuzu named the task the cut changes. Her wishes and the evidence of her injury determine the care plan, not the prestige of the chart beside it.",「よろしい。小鈴は傷で変わる作業を自分で示しました。ケアの計画を決めるのは本人の希望と傷の証拠であり、隣の星図の権威ではありません。」,248,Original
dlg.eir.practical_care.defiant,dialogue,char.eirin_yagokoro,"Correct. Scale changes resources and duration. It does not make one person scenery while an impressive problem enters the room.",「正しいわ。規模で必要な資源と時間は変わります。大きな問題が入ってきたからといって、一人の人間を背景にはしません。」,248,Original
dlg.eir.practical_care.clear,dialogue,char.eirin_yagokoro,"The care packet matches the consent, the return slips remain within Kosuzu's stated limit, and the orbit chart retains its unresolved error. Nothing was traded away.",「ケア用品は同意の範囲に合い、返却票は小鈴が示した限界内にあり、軌道図には未解決の誤差が残っています。何も引き換えにしていません。」,248,Original
dlg.eir.practical_care.assist,dialogue,char.eirin_yagokoro,"The Diagnostic Lens separated paper trace from lunar residue. It improved visibility; Kosuzu still decided what care she accepted, and the chart still kept its own question.",「診断レンズは紙の痕跡と月の残留を分けました。見やすくはなったけれど、受けるケアを決めたのは小鈴で、星図にも固有の問いが残っています。」,248,Original
dlg.eir.practical_care.loss,dialogue,char.eirin_yagokoro,"Stop. We turned cosmic precision into urgency and skipped Kosuzu's stated next task. Reset the board. No one pays for our hierarchy.",「止めます。宇宙規模の精密さを緊急性と取り違え、小鈴が示した次の作業を飛ばしました。盤を戻しなさい。私たちの序列の代償を誰にも払わせません。」,248,Original
dlg.eir.practical_care.after,dialogue,char.eirin_yagokoro,"Practical care took six attentive minutes. The lunar calculation still receives its full review; its three-century horizon does not make Kosuzu's next hour smaller. Same attention means neither becomes scenery.",「実際的なケアには、注意を向けた六分がかかりました。月の計算も必要な検討を全て続けます。三百年先を扱うからといって、小鈴の次の一時間が小さくなるわけではありません。同じ注意とは、どちらも背景にしないことです。」,248,Original
journal.eir.practical_care.title,journal_title,,Neither Became Scenery,どちらも背景にしない,248,Original
journal.eir.practical_care.body,journal_body,,"Eirin gave Kosuzu's small injury careful attention within a separately confirmed scope while preserving Kaguya's centuries-scale orbital problem. Different duration and procedure did not become a ranking of whose reality mattered.",「永琳は別に確認した同意の範囲で、小鈴の小さな傷へ的確かつ丁寧に対応しながら、輝夜の数百年規模の軌道問題も保った。異なる時間と手順は、どちらの現実が重要かという順位にはならなかった。」,248,Original
