key,context,speaker,en,ja,max_width_px,origin
obj.yyk.empty_plate.observe,objective,,Sit with the empty plate and notice which traces belong to the person, not the recipe.,空の皿と共に座り、料理でなく人に属する痕跡を見つける。,208,Original
event.yyk.empty_plate.title,event_title,,The Empty Plate,空の皿,208,Original
choice.yyk.empty_plate.direct,choice,,Ask what Yuyuko remembers about the person rather than the food.,料理ではなく、その人について幽々子が何を覚えているか尋ねる。,248,Original
choice.yyk.empty_plate.playful,choice,,Suggest that the sour plum won the argument by being eaten twice.,酸っぱい梅は二度食べられて、議論に勝ったのだと言う。,248,Original
choice.yyk.empty_plate.patient,choice,,Share the veranda silence without trying to fill the plate or memory.,皿も記憶も埋めようとせず、縁側の沈黙を共にする。,248,Original
choice.yyk.empty_plate.defiant,choice,,Say a missing flavor does not make the memory incomplete.,味が欠けていても、記憶が不完全になるわけではないと言う。,248,Original
dlg.yyk.empty_plate.flavor_missing,dialogue,char.yuyuko_saigyouji,"I cannot remember what was served on this plate. Not the sauce, not the season, not even whether I asked for another helping. An archivist would be very disappointed.",「この皿に何が載っていたか思い出せないの。味付けも季節も、お代わりを頼んだかさえ。記録係なら、とてもがっかりするでしょうね。」,248,Original
dlg.yyk.empty_plate.person_remains,dialogue,char.yuyuko_saigyouji,"I remember the person opposite me called the plums too sour, then ate the last one and folded this napkin into a boat. The meal survives in a rather inconvenient place.",「向かいの人が梅を酸っぱすぎると言って、それから最後の一つを食べ、この布を舟に折ったことは覚えている。食事は、ずいぶん記録しにくい場所に残るものね。」,248,Original
dlg.yyk.empty_plate.direct,dialogue,char.yuyuko_saigyouji,"They disliked being agreed with too quickly. They folded corners while deciding what to say, and laughed before admitting the second plum was good. That is what I have.",「すぐ同意されるのが嫌いな人だった。言葉を選ぶ間は端を折り、二つ目の梅がおいしいと認める前に笑った。それが私に残っているものよ。」,248,Original
dlg.yyk.empty_plate.playful,dialogue,char.yuyuko_saigyouji,"Twice eaten and still accused—yes, the plum won splendidly. They would object to your verdict, which is how I know it suits the memory.",「二度も食べられて、まだ責められる。そうね、梅の見事な勝ちだわ。その人ならあなたの判定に異議を唱えるでしょう。それでこそ、この記憶に似合うの。」,248,Original
dlg.yyk.empty_plate.patient,dialogue,char.yuyuko_saigyouji,"Thank you for not setting an imaginary dish on it. An empty plate can keep the shape of an ended meal if no one hurries to make it useful again.",「想像の料理を載せないでくれてありがとう。誰も急いで役立て直さなければ、空の皿は終わった食事の形を保てるわ。」,248,Original
dlg.yyk.empty_plate.defiant,dialogue,char.yuyuko_saigyouji,"No. Memory is not pantry inventory. I do not need every ingredient to know who contradicted me, who stayed, and why the empty place is not interchangeable.",「ええ。記憶は食料庫の在庫ではないもの。材料を全部知らなくても、誰が私に反対し、誰が残り、なぜこの空席が取り替えられないかは分かるわ。」,248,Original
dlg.yyk.empty_plate.after,dialogue,char.yuyuko_saigyouji,"The plate is empty because the meal ended. The memory is here because someone shared that ending with me. Reconstructing the flavor would not make either fact more complete.",「皿が空なのは、食事が終わったから。記憶がここにあるのは、誰かがその終わりを私と共にしたから。味を再現しても、どちらの事実も完全にはならないわ。」,248,Original
journal.yyk.empty_plate.title,journal_title,,What the Plate Did Not Record,皿が記録しなかったもの,248,Original
journal.yyk.empty_plate.body,journal_body,,Yuyuko could not recover the meal's flavor, but she remembered the unnamed person who shared it. The plate stayed empty because the meal had ended, not because memory had failed or demanded reconstruction.,幽々子は食事の味を取り戻せなかったが、それを共にした名のない人を覚えていた。皿が空なのは食事が終わったからであり、記憶が失敗したり再現を求めたりしたからではなかった。,248,Original
