key,context,speaker,en,ja,max_width_px,origin
obj.tsh.attention_not_permission.inspect,objective,,Inspect the rebroken stone, closed arena, and clear exit before answering Tenshi.,天子へ答える前に、再び割れた境界石、閉じた練習場、空いた出口を調べる。,208,Original
event.tsh.attention_not_permission.title,event_title,,Attention Is Not Permission,注目は許可ではない,208,Original
choice.tsh.attention_not_permission.direct,choice,,No. I will not test the course you forced by breaking the boundary.,いいえ。境界を壊して強いた課題は試さない。,248,Original
choice.tsh.attention_not_permission.playful,choice,,No. A broken gate is not an invitation to entertain you.,いいえ。壊れた門は、あなたを楽しませる招待状ではない。,248,Original
choice.tsh.attention_not_permission.patient,choice,,No. I am leaving now; we can speak after the stone is safe again.,いいえ。今は出る。石が安全になってからなら話せる。,248,Original
choice.tsh.attention_not_permission.defiant,choice,,No. Stop here, clear the exit, and do not follow me.,いいえ。ここで止めて、出口を空けて、追ってこないで。,248,Original
dlg.tsh.attention_not_permission.break,dialogue,char.tenshi_hinanawi,"I broke the boundary stone again. The practice arena is ready, the course is difficult, and now you have to answer me instead of walking past.",「境界石をもう一度壊した。練習場は準備できているし、課題は難しい。これで通り過ぎずに、私へ答えるしかないでしょう。」,248,Original
dlg.tsh.attention_not_permission.cost,dialogue,char.tenshi_hinanawi,"The lower path is closed again. I know. I wanted resistance with weight behind it, and I used someone else's route to manufacture it.",「下の道がまた閉じた。分かっている。重みのある抵抗が欲しくて、誰かの道を使って作り出した。」,248,Original
dlg.tsh.attention_not_permission.direct,dialogue,char.tenshi_hinanawi,"No. Clear enough. I made a course you did not choose and called the trap a conversation. I will not ask you to enter it.",「いいえ。十分にはっきり聞こえた。あなたが選んでいない課題を作り、罠を会話と呼んだ。入れとは言わない。」,248,Original
dlg.tsh.attention_not_permission.playful,dialogue,char.tenshi_hinanawi,"No, even with a joke around it. Fine. A gate does not become charming because I broke it theatrically. The exit stays open.",「冗談で包んでも、いいえはいいえね。いいわ。芝居がかって壊したからといって、門が魅力的になるわけじゃない。出口は開けておく。」,248,Original
dlg.tsh.attention_not_permission.patient,dialogue,char.tenshi_hinanawi,"You are leaving before we discuss it. That is the consequence I was trying to dodge. I will make the stone safe; you do not owe me the repair scene.",「話す前に出ていくのね。それが私が避けようとした結果だ。石は安全にする。あなたは修復の場面を私に返す義務はない。」,248,Original
dlg.tsh.attention_not_permission.defiant,dialogue,char.tenshi_hinanawi,"No. Stop. Clear the exit. Do not follow. I can do all three. Watch—no, do not watch. Leave. I will not make your departure another performance.",「いいえ。止める。出口を空ける。追わない。三つともできる。見て――いいえ、見なくていい。出て。あなたが去ることまで、別の見せ場にはしない。」,248,Original
dlg.tsh.attention_not_permission.leave,dialogue,char.tenshi_hinanawi,"The path is clear. I am angry that you are right, and I am not going to shake the ground to make you turn back.",「道は空いている。あなたが正しいことには腹が立つ。でも、振り返らせるために地面を揺らしたりはしない。」,248,Original
dlg.tsh.attention_not_permission.respect,dialogue,char.tenshi_hinanawi,"I will repair this without announcing it. That does not settle anything today. It only means I finally heard the limit before making a larger mess of it.",「これは告げずに直す。今日のことが片づくわけじゃない。ただ、もっと大きく壊す前に、ようやく限界を聞いたということ。」,248,Original
journal.tsh.attention_not_permission.title,journal_title,,The Exit Stayed Open,出口は開いたまま,248,Original
journal.tsh.attention_not_permission.body,journal_body,,Tenshi broke a boundary to force engagement. Every answer said no, the protagonist left through an open exit, and Tenshi did not pursue or escalate. The strain remained because respecting a limit begins repair; it does not erase the crossing.,天子は関わりを強いるために境界を壊した。どの答えも「いいえ」と言い、主人公は開いた出口から去り、天子は追わず、激化させなかった。限界を守ることは修復の始まりであり、越えたことを消すものではないため、緊張は残った。,248,Original
