key,_context,_speaker,en,ja,_max_width_px,_origin
event.hkr.empty_cushion.title,event title,,The Empty Cushion,空いたままの座布団,180,Original
obj.hkr.find_second_cup,objective,,Find why a second cup is warm.,二つ目の湯呑みが温かい理由を探す。,200,Original
dlg.hkr.empty_cushion.reimu.001,private dialogue,Reimu,I didn't wait. I simply hadn't put the second cup away yet.,待ってないわ。二つ目の湯呑みを片づけてなかっただけ。,214,Original
choice.hkr.empty_cushion.direct,tone choice,,Say: You fixed that for me.,「私のために直したの？」と聞く。,188,Original
choice.hkr.empty_cushion.playful,tone choice,,Ask whether every visitor gets reserved seating.,「客にはみんな指定席があるの？」と冗談を言う。,200,Original
choice.hkr.empty_cushion.patient,tone choice,,Pour tea and leave the empty place open.,何も正さず、お茶を注いで席を空けておく。,210,Original
choice.hkr.empty_cushion.defiant,tone choice,,Say: You could admit you're glad.,「戻ってきて嬉しいって言えば？」,214,Original
dlg.hkr.empty_cushion.reimu.excellent,private dialogue,Reimu,...You remembered the temperature. Sit down before it changes.,……温度まで覚えてたのね。変わる前に座りなさい。,214,Original
dlg.hkr.empty_cushion.reimu.clear,private dialogue,Reimu,That is fine. Hand me the other cup.,それでいいわ。もう一つの湯呑みを取って。,214,Original
dlg.hkr.empty_cushion.reimu.loss,private dialogue,Reimu,Too hot. Move over; I will fix it.,熱すぎ。ちょっとどいて、私が直す。,214,Original
dlg.hkr.empty_cushion.reimu.direct,private dialogue,Reimu,I fixed a cushion. Don't make it important.,座布団を直しただけよ。大事なことにしないで。,214,Original
dlg.hkr.empty_cushion.reimu.playful,private dialogue,Reimu,Reserved seating costs extra. You can pay after the tea.,指定席は別料金よ。お茶のあとで払って。,214,Original
dlg.hkr.empty_cushion.reimu.patient,private dialogue,Reimu,...At least someone here knows when silence is useful.,……少なくとも、黙るタイミングがわかる人はいるのね。,214,Original
dlg.hkr.empty_cushion.reimu.defiant,private dialogue,Reimu,"If I were glad, I wouldn't need you to announce it for me.",嬉しいとしても、あなたに代わりに言われる筋合いはないわ。,214,Original
dlg.hkr.empty_cushion.reimu.stain,private dialogue,Reimu,Put the cup down. The stain under the donation box is moving.,湯呑みを置いて。賽銭箱の下の染みが動いてる。,214,Original
dlg.hkr.empty_cushion.reimu.danmaku_clear,private dialogue,Reimu,Good. It stopped pretending to be part of the floor.,よし。床の一部のふりをするのはやめたみたい。,214,Original
dlg.hkr.empty_cushion.reimu.danmaku_assist,private dialogue,Reimu,I'll take the last edge. You kept it away from the cups.,最後の端は私が封じる。湯呑みから遠ざけたのは上出来。,214,Original
dlg.hkr.empty_cushion.reimu.danmaku_loss,private dialogue,Reimu,Back up. Losing an argument with a stain is still survivable.,下がって。染みに言い負かされても、生きてれば続きはある。,214,Original
dlg.hkr.empty_cushion.marisa.terms_intro,private dialogue,Marisa,"If we're settling boundaries, let's settle the spell-card terms too.",境界の話をつけるなら、スペルカードの条件も決めようぜ。,214,Original
dlg.hkr.empty_cushion.reimu.duel_win,private dialogue,Reimu,Two seals. Fine. You remembered the terms.,二つ封印。いいわ、条件は覚えてたのね。,214,Original
dlg.hkr.empty_cushion.reimu.duel_loss,private dialogue,Reimu,Terms accepted. You can argue for a rematch tomorrow.,条件は成立。再戦の言い分は明日にしなさい。,214,Original
dlg.hkr.empty_cushion.reimu.afterbeat_01,private dialogue,Reimu,Your tea's cold. Leave it; I already poured another.,お茶、冷めたわね。そのままでいい。もう一杯淹れたから。,214,Original
dlg.hkr.empty_cushion.reimu.afterbeat_02,private dialogue,Reimu,The path gets dark early. Take the lantern by the gate.,参道は暗くなるのが早い。門の提灯を持っていきなさい。,214,Original
dlg.hkr.empty_cushion.reimu.afterbeat_03,private dialogue,Reimu,The guest bedding is aired and ready.,客用の布団は干しておいた。,214,Original
dlg.hkr.empty_cushion.reimu.afterbeat_04,private dialogue,Reimu,"That's information, not an invitation. Don't make it important.",情報よ、招待じゃない。大事なことにしないで。,214,Original
journal.hkr.empty_cushion.title,journal title,,The Empty Second Cup,空いた二つ目の湯呑み,180,Original
journal.hkr.empty_cushion.body,journal body,,The cup was warm before I arrived. The cushion is no longer stored away. An empty place can be a kind of invitation.,着く前から湯呑みは温かかった。座布団はもう片づけられていない。空いている場所も、招待になることがある。,286,Original
ui.map.travel,button,,Travel,移動,48,UI
ui.common.back,button,,Back,戻る,48,UI
ui.journal.open,button,,Journal,手帳,64,UI
