key,_context,_speaker,en,ja,_max_width_px,_origin
obj.pch.book_answers_everything.choose,objective,,Choose how to answer a volume of every future conversation.,未来の会話をすべて記した本にどう答えるか選ぶ。,208,Original
event.pch.book_answers_everything.title,event_title,,The Book That Answers Everything,すべてに答える本,208,Original
choice.pch.book_answers_everything.direct,choice,,Say an answer written before its question cannot be knowledge.,問いより先に書かれた答えは知識ではないと言う。,248,Original
choice.pch.book_answers_everything.playful,choice,,Ask the index for a question neither of you has invented.,まだ誰も考えていない問いを索引に尋ねる。,248,Original
choice.pch.book_answers_everything.patient,choice,,Wait while Patchouli decides what the book may not contain.,本に何を含ませないかをパチュリーが決めるまで待つ。,248,Original
choice.pch.book_answers_everything.defiant,choice,,Refuse consent for the Archive to prewrite either voice.,文庫がどちらの声も先に書くことへの同意を拒む。,248,Original
dlg.pch.book_answers_everything.offer,dialogue,char.patchouli_knowledge,"The Archive has compiled every conversation we will ever have. References, corrections, silences, and the lines we would regret by morning.",「文庫が、私たちがこれから交わすすべての会話を編纂した。参照、訂正、沈黙、朝には後悔する言葉まで。」,248,Original
dlg.pch.book_answers_everything.problem,dialogue,char.patchouli_knowledge,It has given my future answers excellent citations. It has not explained why I should call a conclusion knowledge when no one has chosen the question.,「未来の私の答えには立派な出典が付いている。でも誰も問いを選んでいないのに、なぜ結論を知識と呼ぶべきかは説明していない。」,248,Original
dlg.pch.book_answers_everything.direct,dialogue,char.patchouli_knowledge,"Correct. Evidence can precede us; an answer cannot own the question that gives it meaning. This section is reference material, not fate.",「その通り。証拠は私たちより先に存在できる。でも答えは、自分に意味を与える問いを所有できない。この章は参考資料であって運命じゃない。」,248,Original
dlg.pch.book_answers_everything.playful,dialogue,char.patchouli_knowledge,The index returns a blank entry. Its first accurate answer. Apparently incompleteness improves the book's scholarship.,「索引は空白の項目を返した。初めて正確な答えね。不完全さは、この本の学術性を高めるらしい。」,248,Original
dlg.pch.book_answers_everything.patient,dialogue,char.patchouli_knowledge,You left the editorial decision with me. Good. I will remove the final folios and bind blank ones in their place.,「編集の決定を私に残した。いい。最後の折丁を外して、代わりに空白を綴じる。」,248,Original
dlg.pch.book_answers_everything.defiant,dialogue,char.patchouli_knowledge,Agreed. Prediction is not permission to impersonate either of us. The Archive may model our voices; it may not publish them as choices.,「同意する。予測は私たちを演じる許可じゃない。文庫は声をモデル化できても、選択として出版はできない。」,248,Original
dlg.pch.book_answers_everything.after,dialogue,char.patchouli_knowledge,"The last pages are blank, not missing. There is a difference. Missing knowledge asks to be recovered; blank space waits for an author.",「最後の頁は空白であって欠落じゃない。違いがある。失われた知識は回収を求める。空白は著者を待つ。」,248,Original
journal.pch.book_answers_everything.title,journal_title,,The Bound Blank Pages,綴じられた空白,248,Original
journal.pch.book_answers_everything.body,journal_body,,"The Archive predicted every future conversation, but Patchouli distinguished reference from authorship. She removed the final folios herself and bound blank pages where unchosen questions and voices had been.",文庫は未来の会話をすべて予測したが、パチュリーは参照と著作を区別した。彼女自身が最後の折丁を外し、選ばれていない問いと声があった場所に空白の頁を綴じた。,248,Original
