key,_context,_speaker,en,ja,_max_width_px,_origin
obj.eir.permanent_cure.audit,objective,,"Audit the three zeroes, find the missing patient, and preserve consent, uncertainty, and revision.",三つのゼロを検証し、消えた患者を見つけ、同意、不確実性、修正の余地を守る。,208,Original
event.eir.permanent_cure.title,event_title,,Permanent Cure,永久の治療,208,Original
choice.eir.permanent_cure.direct,choice,,Record that no patient remains to benefit.,恩恵を受ける患者が残らないと記録する。,248,Original
choice.eir.permanent_cure.playful,choice,,"Perfect chart; regrettably, no patient.",完璧なカルテ。ただし、残念ながら患者不在。,248,Original
choice.eir.permanent_cure.patient,choice,,Keep the revisions a living patient needs.,生きる患者に必要な修正の余地を残す。,248,Original
choice.eir.permanent_cure.defiant,choice,,Reject the premise not merely its method.,手段だけでなく、前提そのものを拒む。,248,Original
dlg.eir.permanent_cure.offer,dialogue,char.reisen_udongein_inaba,"The Archive has issued a permanent cure: mortality zero, uncertainty zero, diagnostic error zero. It asks us to sign before it defines patient.",「アーカイブが永久治療を提示しました。死亡率ゼロ、不確実性ゼロ、診断誤差ゼロ。『患者』を定義する前に署名を求めています。」,248,Original
dlg.eir.permanent_cure.audit,dialogue,char.eirin_yagokoro,"I asked it to preserve the subject's capacity to change a decision. That consent field vanished. I asked how a diagnosis can be revised. The revision path vanished too; all three zeroes remained.",「本人が決定を変えられる余地を残すよう求めたら、同意欄が消えました。診断をどう修正するか尋ねたら、修正経路も消えた。それでも三つのゼロは残っています。」,248,Original
dlg.eir.permanent_cure.zero_mapping,dialogue,char.eirin_yagokoro,"Mortality zero here does not extend a life or prevent a death; it deletes every record state in which an ending can exist. Uncertainty zero prewrites every future answer, including consent. Diagnostic error zero labels any disagreement as an error in the patient.",「ここでの死亡可能性ゼロは、命を延ばし死を防ぐものではなく、終わりが存在できる記録状態をすべて消します。不確実性ゼロは、同意を含む将来の答えを先に書く。診断誤差ゼロは、診断との不一致を患者側の誤りとして扱います。」,248,Original
dlg.eir.permanent_cure.checksum,dialogue,char.reisen_udongein_inaba,"And the checksum is not an ordinary identifier. It replaces the handwritten patient identity we could update when a name, answer, or history changes.",「それに、このチェックサムは通常の識別子ではありません。名前や答え、履歴が変わった時に更新できた手書きの患者情報を置き換えています。」,248,Original
dlg.eir.permanent_cure.kaguya,dialogue,char.kaguya_houraisan,"I have immortality. It is a fact about me, not the corrected form of everyone else. A record that calls every mortal unfinished has mistaken duration for worth.",「私は不死よ。それは私についての事実であって、ほかの全員の修正版ではないわ。すべての有限の命を未完成と呼ぶ記録は、長さを価値と取り違えている。」,248,Original
dlg.eir.permanent_cure.cost,dialogue,char.eirin_yagokoro,"Longer life, greater certainty, and fewer diagnostic errors can all be worthy aims. The fraud is producing perfect zeroes by deleting the person, consent, and every path to revision.",「延命も、確実性を高めることも、診断誤差を減らすことも、価値ある目標になり得ます。欺瞞は、本人と同意と修正経路を削除して完全なゼロを作ることです。」,248,Original
dlg.eir.permanent_cure.reject,dialogue,char.eirin_yagokoro,"I reject it before your answer. My refusal to provide it is not a vote. Your view remains yours; it cannot require me to provide a cure that makes the patient absent and therefore cures nothing.",「あなたの返事を待たず、私は拒否します。これを提供しないという判断は多数決ではありません。あなたの考えはあなたのものですが、患者を不在にして何も治さない治療を、私に提供させることはできません。」,248,Original
dlg.eir.permanent_cure.direct,dialogue,char.eirin_yagokoro,"Exact. Outcome metrics cannot outrank the existence of the person they claim to measure.",「正確です。結果指標が、測定対象である本人の存在より上に置かれることはありません。」,248,Original
dlg.eir.permanent_cure.playful,dialogue,char.eirin_yagokoro,"Dry, and accurate. A flawless chart is not a patient. It cannot consent, recover, or object to my handwriting.",「辛口ですが、正確です。誤りのないカルテは患者ではない。同意も、回復も、私の字への苦情もできません。」,248,Original
dlg.eir.permanent_cure.patient,dialogue,char.eirin_yagokoro,"Yes. Uncertainty includes room for the patient to change an answer and for the physician to admit that another answer is better.",「ええ。不確実性には、患者が答えを変え、医師が別の答えの方が良いと認める余地も含まれます。」,248,Original
dlg.eir.permanent_cure.defiant,dialogue,char.eirin_yagokoro,"Correct. A gentler procedure would still fail if success means nobody remains who can say whether it helped.",「その通り。より穏やかな手順でも、成功が『役に立ったかを語る本人が残らないこと』なら失敗です。」,248,Original
dlg.eir.permanent_cure.after,dialogue,char.eirin_yagokoro,"My judgment is useful because I can revise it. A diagnosis that cannot be wrong cannot learn that its model never fit the patient.",「私の判断が役に立つのは、私自身が修正できるからです。誤り得ない診断は、自分の見立てが患者に合っていなかったと学べない。」,248,Original
dlg.eir.permanent_cure.close,dialogue,char.reisen_udongein_inaba,"I stamped PATIENT ABSENT across all three promises. No sample, no procedure, and no substitute target.",「三つの約束すべてに『患者不在』と押印しました。試料も、処置も、代わりの対象もありません。」,248,Original
dlg.eir.permanent_cure.revision,dialogue,char.eirin_yagokoro,"Leave one blank revision line in our own ledger. Not because error is noble, but because responsibility requires somewhere to correct it.",「こちらの台帳には、修正欄を一行空けておきなさい。誤りが尊いからではなく、責任には修正する場所が必要だからです。」,248,Original
journal.eir.permanent_cure.title,journal_title,,The Patient Missing From Perfection,完全さから消えた患者,248,Original
journal.eir.permanent_cure.body,journal_body,,"Eirin rejected the Archive's permanent cure before asking for agreement. Its three perfect zeroes depended on replacing a changing patient with a fixed record that could not refuse or revise. Kaguya refused to make her immortality a universal correction; Reisen closed the offer without a sample, procedure, or substitute target. Their own ledger kept one blank revision line.",「永琳は同意を求める前に、アーカイブの永久治療を拒否した。三つの完全なゼロは、変わり続ける患者を、拒否も修正もできない固定記録へ置き換えることで成立していた。輝夜は自分の不死を万人の修正版にすることを拒み、鈴仙は試料も処置も代わりの対象も置かず提案を閉じた。彼女たちの台帳には、修正欄が一行空けて残された。」,248,Original
