key,context,speaker,en,ja,max_width_px,origin
obj.mtn.trace_tomorrows_photo,objective,,Read tomorrow's paper. Check the rail in it.,明日の新聞を読み、写った柵を確かめる。,208,Original
event.mtn.tomorrows_headline.title,event_title,,Tomorrow's Headline,明日の見出し,208,Original
choice.mtn.headline.direct,choice,,Do not print my face or name.,顔も名前も載せないでと告げる。,248,Original
choice.mtn.headline.playful,choice,,Ask whether tomorrow accepts corrections before breakfast.,明日は朝食前の訂正を受け付けるか聞く。,248,Original
choice.mtn.headline.patient,choice,,Ask to see the uncropped frame before naming it.,意味を決める前に切り抜く前の写真を見せてと頼む。,248,Original
choice.mtn.headline.defiant,choice,,Say the headline may be teaching people to make it true.,その見出しが現実にする方法を教えていると指摘する。,248,Original
dlg.mtn.headline.aya.intro,dialogue,char.aya_shameimaru,"Good morning. Tomorrow's front page says this rail breaks at noon—with you beside it.",おはようございます。明日の一面では正午にこの柵が壊れ、その隣にあなたがいます。,248,Original
dlg.mtn.headline.aya.evidence,dialogue,char.aya_shameimaru,"I did not stage it. This plate was in my camera case before I pressed the shutter.",捏造ではありません。私がシャッターを切る前から、この乾板は鞄に入っていました。,248,Original
dlg.mtn.headline.aya.direct,dialogue,char.aya_shameimaru,"Clear terms. I can report the mechanism without appointing its victim.",明確な条件ですね。被害者を指名せず、仕組みだけを記事にできます。,248,Original
dlg.mtn.headline.aya.playful,dialogue,char.aya_shameimaru,"Corrections are possible—if the editor is faster than breakfast. I will mark this one now.",訂正は可能です。編集長が朝食より速ければ。今ここで印を付けましょう。,248,Original
dlg.mtn.headline.aya.patient,dialogue,char.aya_shameimaru,"Here is the full frame. It proves the light reached the plate—not why anyone chose this path.",これが写真の全体です。光が乾板に届いた証明にはなりますが、誰かがこの道を選ぶ理由にはなりません。,248,Original
dlg.mtn.headline.aya.defiant,dialogue,char.aya_shameimaru,"Then we test that risk before I print another certainty.",では、次の確定記事を出す前に、その危険を検証しましょう。,248,Original
dlg.mtn.headline.aya.photo_origin,dialogue,char.aya_shameimaru,"Every safe route is bending toward the route I already printed. Give me one frame the paper did not predict.",安全な道がすべて、私が印刷した道へ曲がっています。新聞が予測しなかった一枚をください。,248,Original
dlg.mtn.headline.aya.danmaku_clear,dialogue,char.aya_shameimaru,"You made a gap the paper never named. That is our first genuinely new fact.",新聞が一度も記さなかった隙間を作りました。これが最初の、本当に新しい事実です。,248,Original
dlg.mtn.headline.aya.danmaku_assist,dialogue,char.aya_shameimaru,"The wider frame shows the same contradiction. The printed route did not own your movement.",広い画角でも同じ矛盾が写っています。印刷された道は、あなたの動きを支配できませんでした。,248,Original
dlg.mtn.headline.aya.danmaku_loss,dialogue,char.aya_shameimaru,"Stop. A missed photograph is not consent to become tomorrow's accident.",止めます。撮れなかった写真は、明日の事故になることへの同意ではありません。,248,Original
dlg.mtn.headline.aya.after_01,dialogue,char.aya_shameimaru,"My paper called the path dangerous, so the patrol closed it. Everyone took the rail instead.",新聞が危険だと書いたため、哨戒隊が掲載された道を閉じました。それで皆が柵側を通った。,248,Original
dlg.mtn.headline.aya.after_02,dialogue,char.aya_shameimaru,"Camera down. No face, no name. I publish the correction only after the route changes.",カメラを下ろします。顔も名前も載せません。道が変わった後に訂正を出します。先回りはしません。,248,Original
journal.mtn.tomorrows_headline.title,journal_title,,The Caption Not Printed,掲載されなかった説明文,248,Original
journal.mtn.tomorrows_headline.body,journal_body,,"Aya's future photo made people perform the accident. She honored your boundary and withheld your identity, promising a correction after the route changed.",文の未来写真が哨戒路を変え、人々に事故を再現させていた。文は掲載条件を守り、人物を特定する説明文を伏せ、道が変わってから訂正すると約束した。,248,Original
