key,_context,_speaker,en,ja,_max_width_px,_origin
obj.tsh.keystone_construction.read,objective,,"Read the anchor slots, weather plumb line, and open cloud lane before placing a keystone.",要石を置く前に、固定穴、天候の下げ振り、開いた雲の通り道を読む。,208,Original
event.tsh.keystone_construction.title,event_title,,Keystone Construction,要石の建設,208,Original
choice.tsh.keystone_construction.direct,choice,,Plan the load path before choosing where the impressive stone goes.,目立つ石を置く場所より先に、荷重の通り道を決める。,248,Original
choice.tsh.keystone_construction.playful,choice,,Ask whether the fourth keystone is a bridge support or a very loud hat.,四つ目の要石は橋の支えか、とても騒がしい帽子かと尋ねる。,248,Original
choice.tsh.keystone_construction.patient,choice,,Wait for Iku's weather reading before committing the final anchor.,最後の固定を決める前に、衣玖の天候測定を待つ。,248,Original
choice.tsh.keystone_construction.defiant,choice,,Refuse to narrow the public lane just to make the span look grander.,橋を立派に見せるためだけに、皆の通り道を狭めることを拒む。,248,Original
dlg.tsh.keystone_construction.plan,dialogue,char.tenshi_hinanawi,"Three anchors, one cloud span, and no wobble. I could use five stones and make it memorable, but then you would call it an incident instead of construction.",「固定は三つ、雲の橋は一つ、ぐらつきはなし。石を五つ使って忘れられないものにもできるけど、そうしたらあなたは建設じゃなく異変と呼ぶでしょうね。」,248,Original
dlg.tsh.keystone_construction.iku_constraint,dialogue,char.iku_nagae,"The weather current will lean west at noon. The span needs room for the delivery lane as well as enough support for the cart. These are conditions, not invitations to argue with gravity.",「正午には天候の流れが西へ傾きます。橋には車を支える強さと、配達路の余地の両方が必要です。これは重力と口論する誘いではなく、条件です。」,248,Original
dlg.tsh.keystone_construction.direct,dialogue,char.tenshi_hinanawi,"Load path first. Good. A stone earns its place by holding something, not by winning the skyline.",「まず荷重の通り道。いいわ。石が居場所を得るのは、空を勝ち取るからじゃなく、何かを支えるからよ。」,248,Original
dlg.tsh.keystone_construction.playful,dialogue,char.tenshi_hinanawi,"A loud hat? It is an excellent stone. It is also unnecessary. Fine, it can wait for a day when nobody needs to get past it.",「騒がしい帽子？　優れた石よ。でも必要ではない。いいわ、誰も通り抜ける必要のない日に取っておく。」,248,Original
dlg.tsh.keystone_construction.patient,dialogue,char.tenshi_hinanawi,Waiting is not surrendering the bridge to the wind. It is learning which argument the wind has already won. I can work with that.,「待つことは、橋を風に明け渡すことじゃない。風がもう勝っている議論を知ることよ。それなら扱える。」,248,Original
dlg.tsh.keystone_construction.defiant,dialogue,char.tenshi_hinanawi,"No bottleneck for my silhouette, then. Fair. People crossing the span are not scenery placed to prove I built something high.",「私のシルエットのために狭い通路は作らない、ね。もっともよ。橋を渡る人たちは、私が高く建てた証拠の背景じゃない。」,248,Original
dlg.tsh.keystone_construction.clear,dialogue,char.tenshi_hinanawi,"It holds, the cart has room, and nobody must admire it to cross. That is almost annoyingly satisfying.",「保てる。車には余地がある。誰も眺めなくても渡れる。腹立たしいほど満足ね。」,248,Original
dlg.tsh.keystone_construction.assist,dialogue,char.tenshi_hinanawi,Iku kept the line visible; I chose the stone. Assistance made the condition clearer. It did not build the bridge in my place.,「衣玖が線を見えるようにして、石を選んだのは私。補助は条件を明らかにした。私の代わりに橋を作ったわけじゃない。」,248,Original
dlg.tsh.keystone_construction.loss,dialogue,char.tenshi_hinanawi,"Too sparse here and too proud there. We remove the extra stone, reopen the lane, and set the span again. A reset is cheaper than trapping someone under a clever mistake.",「ここは足りなくて、あっちは誇りすぎた。余分な石を外し、通り道を開けて、橋を置き直す。賢い失敗の下に誰かを閉じ込めるより、やり直す方が安い。」,248,Original
dlg.tsh.keystone_construction.after,dialogue,char.tenshi_hinanawi,"The cart crossed without applause. I expected that to feel empty. Instead it means the bridge had a job, and did it.",「車は拍手なしで渡った。空っぽに感じると思っていた。でも、橋に仕事があって、それを果たしたということね。」,248,Original
journal.tsh.keystone_construction.title,journal_title,,A Bridge Does Not Need an Audience,橋に観客はいらない,248,Original
journal.tsh.keystone_construction.body,journal_body,,"Tenshi built a span that held the cart without narrowing the public lane or turning the work into a monument. Clear, assisted, and reset results all kept construction as a responsibility rather than an attention score.",天子は通り道を狭めず、仕事を記念碑にせず、車を支える橋を作った。成功でも補助でもやり直しでも、建設は注目の点数ではなく責任として残った。,248,Original
