key,_context,_speaker,en,ja,_max_width_px,_origin
obj.eir.doctor_sleeps.handoff,objective,,"Verify the handoff, move nonurgent work to morning, and protect the chosen rest boundary rather than guarding Eirin.",引き継ぎを確認し、急がない仕事を朝へ回し、永琳本人を見張るのではなく、彼女が選んだ休息の境界を守る。,208,Original
event.eir.doctor_sleeps.title,event_title,,The Doctor Sleeps,医者が眠る夜,208,Original
choice.eir.doctor_sleeps.direct,choice,,Guard the boundary not the doctor.,医者ではなく、休息の境界を守る。,248,Original
choice.eir.doctor_sleeps.playful,choice,,Let the Moon leave one note for morning.,月からの伝言を一つ、朝まで待たせる。,248,Original
choice.eir.doctor_sleeps.patient,choice,,Leave one question unanswered tonight.,今夜は、一つくらい答えのない問いを残す。,248,Original
choice.eir.doctor_sleeps.defiant,choice,,A clinic must not consume its physician.,一人の医者を消耗して成り立つ診療所にはしない。,248,Original
dlg.eir.doctor_sleeps.plan,dialogue,char.kaguya_houraisan,"We are not ordering Eirin to bed. Reisen and I prepared a handoff she can audit once, then accept or reject.",「永琳に寝ろと命じるつもりはないわ。鈴仙と私で、彼女が一度確認し、受け入れるか拒むかを決められる引き継ぎを用意したの。」,248,Original
dlg.eir.doctor_sleeps.roster,dialogue,char.reisen_udongein_inaba,"Routine intake, supply questions, and night rounds are assigned. The emergency threshold is written in black. Everything below it waits.",「通常の受付、備品の確認、夜回りは担当を決めました。緊急時の基準は黒枠で明記しています。その基準に達しないものは朝まで回します。」,248,Original
dlg.eir.doctor_sleeps.audit,dialogue,char.eirin_yagokoro,"You conspired with documentation. Irritatingly competent. The threshold is narrow enough, and the morning queue does not hide unfinished work.",「書類まで整えて共謀したのね。腹立たしいほど有能です。基準は十分に狭く、朝の一覧も未完了の仕事を隠していない。」,248,Original
dlg.eir.doctor_sleeps.choose_rest,dialogue,char.eirin_yagokoro,"Then record this accurately: rest is not a treatment being imposed on me. I approve the handoff. I choose one uninterrupted sleep period.",「では正確に記録して。休息は私に押しつける治療ではありません。この引き継ぎを承認し、一度、誰にも中断されずに眠ることを私が選びます。」,248,Original
dlg.eir.doctor_sleeps.direct,dialogue,char.eirin_yagokoro,"Precisely. Do not watch over me. Watch the rule we agreed to.",「その通り。私を見張らず、合意した規則が守られるようにしなさい。」,248,Original
dlg.eir.doctor_sleeps.playful,dialogue,char.kaguya_houraisan,"The Moon may leave one message. I will place its sealed note in the morning tray, where even lunar urgency waits its turn.",「月からの伝言は一つ預かるわ。封をしたまま朝の受け皿へ入れて、月の緊急性にも順番を待ってもらいましょう。」,248,Original
dlg.eir.doctor_sleeps.patient,dialogue,char.reisen_udongein_inaba,"The nonurgent column already has one blank line. It will survive the night.",「急がない欄には、もう空白を一行残してあります。朝までそのままで大丈夫です。」,248,Original
dlg.eir.doctor_sleeps.defiant,dialogue,char.eirin_yagokoro,"Correct. If a clinic survives only by consuming one physician, its design is the emergency.",「その通り。一人の医者を消耗してしか成り立たないなら、緊急なのは診療所の設計です。」,248,Original
dlg.eir.doctor_sleeps.routine,dialogue,char.reisen_udongein_inaba,"The first interruption is ordinary. An earth rabbit brings a routine intake question; I answer it from the signed ledger. The door stays closed.",「最初の割り込みは日常の用件でした。地上の兎が通常受付の質問を持ってきたので、署名済みの台帳から私が答えます。扉は閉じたままです。」,248,Original
dlg.eir.doctor_sleeps.player_action,dialogue,char.reisen_udongein_inaba,"Good. A second routine slip reached you; you checked its mark against the black threshold, dated it for morning in the ledger, and passed it to my queue without knocking.",「はい。二枚目の通常票はあなたが受け取り、印を黒枠の基準と照合し、台帳で朝へ回して、扉を叩かず私の列へ渡しました。」,248,Original
dlg.eir.doctor_sleeps.archive,dialogue,char.kaguya_houraisan,"The Archive chimes for a correction it calls immediate. I date it for morning and set it in my tray. Nothing collapses.",「アーカイブが『即時』と記した訂正要求の通知を鳴らしたわ。朝の日付を入れて、私の受け皿へ置く。何も崩れないわね。」,248,Original
dlg.eir.doctor_sleeps.quiet,dialogue,char.kaguya_houraisan,"The corridor remains quiet long enough that silence stops feeling like a gap someone must fill.",「廊下の静けさは、誰かが埋めるべき空白には思えなくなるまで続いたわ。」,248,Original
dlg.eir.doctor_sleeps.wake,dialogue,char.eirin_yagokoro,"You did not make me unnecessary. This ledger shows one request you checked, dated for morning, and did not bring to my door. You made my work survivable. Those are not the same.",「あなたたちは私を不要にしたのではない。この台帳には、あなたが一件の要求を基準と照合し、朝へ回し、扉を叩かなかったことが残っている。私の仕事を、続けられる形にした。この二つは同じではありません。」,248,Original
dlg.eir.doctor_sleeps.person,dialogue,char.kaguya_houraisan,"Naturally. I value Eirin, not a function that happens to answer forever.",「当然よ。私が大切にしているのは永琳であって、永遠に答え続ける機能ではないもの。」,248,Original
dlg.eir.doctor_sleeps.record,dialogue,char.eirin_yagokoro,"Record one successful handoff. Do not promote it into a universal cure for fatigue. We repeat it when the conditions fit.",「成功した引き継ぎを一件、記録して。疲労への万能薬に昇格させてはいけません。条件が合う時に繰り返します。」,248,Original
journal.eir.doctor_sleeps.title,journal_title,,One Complete Handoff,完了した一度の引き継ぎ,248,Original
journal.eir.doctor_sleeps.body,journal_body,,"Eirin audited the handoff and chose her own uninterrupted rest. Kaguya and Reisen kept routine work and an Archive demand outside the agreed threshold; the protagonist protected the boundary rather than treating Eirin as a task to manage. One unanswered question waited until morning, and the clinic remained whole.",「永琳は引き継ぎを確認し、自分で中断のない休息を選んだ。輝夜と鈴仙は、日常業務とアーカイブの要求を合意した緊急基準の外に留め、主人公は永琳を管理すべき対象にせず境界を守った。答えのない問いが一つ朝まで待ち、診療所は何も失わなかった。」,248,Original
