key,_context,_speaker,en,ja,_max_width_px,_origin
obj.rml.do_not_laugh_wrong_thing.return_floor,objective,,Read what the public joke harmed and return the floor without speaking for Remilia.,公の冗談が何を傷つけたかを読み取り、レミリアに代わって話さず発言の場を返す。,208,Original
event.rml.do_not_laugh_wrong_thing.title,event_title,,Do Not Laugh at the Wrong Thing,笑う場所を間違えないで,208,Original
choice.rml.do_not_laugh_wrong_thing.direct,choice,,Name the failed mechanism and the lazy insult separately—then give Remilia the floor.,壊れた仕掛けと安易な侮辱を分けて指摘し、レミリアへ発言を返す。,248,Original
choice.rml.do_not_laugh_wrong_thing.playful,choice,,Redirect the joke toward the overeager chandelier and leave its final line to her.,冗談を気の早いシャンデリアへ向け直し、落ちを彼女に任せる。,248,Original
choice.rml.do_not_laugh_wrong_thing.patient,choice,,Stop filling the silence and let Remilia choose when the room hears her reply.,沈黙を埋めるのをやめ、いつ返すかをレミリア自身に選ばせる。,248,Original
choice.rml.do_not_laugh_wrong_thing.defiant,choice,,"Stop the crowd's laughter plainly, then step aside before answering for her.",群衆の笑いをはっきり止め、彼女に代わって答える前に退く。,248,Original
dlg.rml.do_not_laugh_wrong_thing.misfire,dialogue,char.remilia_scarlet,"On the third bell, the chandelier will remember that darkness is a privilege I granted it. One—two—",「三つ目の鐘で、シャンデリアは闇が私の許した特権だと思い出すわ。一つ、二つ――」,248,Original
dlg.rml.do_not_laugh_wrong_thing.wrong_target,dialogue,char.remilia_scarlet,The pulley moved early. One guest has mistaken a broken cue for permission to call my entire household an indulgence. The distinction matters.,「滑車が早く動いたわ。ある客は壊れた合図を、私の館すべてを道楽と呼ぶ許可だと勘違いした。区別は重要よ。」,248,Original
dlg.rml.do_not_laugh_wrong_thing.direct,dialogue,char.remilia_scarlet,"Correct. The mechanism failed; my authority did not. Since the difference has been named, I will now demonstrate it.",「その通り。仕掛けは失敗したけれど、私の権威は失敗していない。違いが示されたのだから、今から私が証明するわ。」,248,Original
dlg.rml.do_not_laugh_wrong_thing.playful,dialogue,char.remilia_scarlet,"The chandelier was eager to upstage me. I admire ambition, so its punishment will be maintenance—and watching the next cue from the floor.",「シャンデリアは私より先に目立ちたかったのね。野心は評価するから、罰は整備と、次の出番を床から眺めることにしましょう。」,248,Original
dlg.rml.do_not_laugh_wrong_thing.patient,dialogue,char.remilia_scarlet,Now that the room has finished borrowing wit from a broken pulley: the third bell remains mine. Listen properly this time.,「壊れた滑車から機知を借りるのは終わったようね。三つ目の鐘はまだ私のものよ。今度は正しく聞きなさい。」,248,Original
dlg.rml.do_not_laugh_wrong_thing.defiant,dialogue,char.remilia_scarlet,"Lower your hand. They have stopped, and I will answer. My hall can survive laughter; it need not reward a target chosen by laziness.",「手を下ろしなさい。笑いは止まった。答えるのは私よ。この広間は笑いに耐えられるけれど、怠慢に選ばれた標的へ褒美を与える必要はないわ。」,248,Original
dlg.rml.do_not_laugh_wrong_thing.after,dialogue,char.remilia_scarlet,"You did not pretend the mistake vanished, and you did not translate me into someone harmless. You returned the floor. Three.",「失敗が消えたふりもせず、私を無害な誰かへ言い換えもしなかった。発言を返したのね。――三つ。」,248,Original
journal.rml.do_not_laugh_wrong_thing.title,journal_title,,The Third Bell Still Rings,三つ目の鐘は鳴る,248,Original
journal.rml.do_not_laugh_wrong_thing.body,journal_body,,"A guest turned a failed stage cue into a lazy public insult. The protagonist did not deny the error or speak over Remilia; the room became hers to answer, and she landed the final line herself.",ある客が舞台の合図の失敗を、安易な公の侮辱へ変えた。主人公は失敗を否定せず、レミリアの言葉を奪いもしなかった。広間は彼女が答える場へ戻り、最後の一言は彼女自身が決めた。,248,Original
