key,_context,_speaker,en,ja,_max_width_px,_origin
obj.mtn.measurable_faith.audit,objective,,"Audit the attendance counter, repeated prayer slips, and poster that uses your image.",来場者計と、繰り返された祈願札と、自分の姿を使った掲示を監査する。,208,Original
event.mtn.measurable_faith.title,event_title,,Publicity Versus Belief,宣伝と信仰,208,Original
choice.mtn.measurable_faith.direct,choice,,Take down my image. Ask before using it next time.,私の姿を下ろし、次から使う前に尋ねてと告げる。,248,Original
choice.mtn.measurable_faith.playful,choice,,"A “witness pair” needs two signatures, not one clever caption.",「見届け人コンビ」には、気の利いた見出し一つでなく署名が二つ必要だと言う。,248,Original
choice.mtn.measurable_faith.patient,choice,,Remove my face first; then we can ask what these numbers actually measured.,まず私の顔を外し、それから数字が何を測ったか考えようと告げる。,248,Original
choice.mtn.measurable_faith.defiant,choice,,These slogans are advertisements repeating themselves—not evidence of belief.,このスローガンは広告が自分を繰り返したもので、信仰の証拠ではないと指摘する。,248,Original
dlg.mtn.measurable_faith.sanae_numbers,dialogue,char.sanae_kochiya,"Attendance exceeded our goal by forty percent. The witness-pair poster drew the longest queue, and the slogan appeared on nearly every submitted prayer slip.",「来場者は目標を四割上回りました。『見届け人コンビ』の掲示が最長の列を作り、ほぼ全ての祈願札にスローガンが書かれています。」,248,Original
dlg.mtn.measurable_faith.kanako_evidence,dialogue,char.kanako_yasaka,"The count is accurate. So is this: most slips repeat the poster exactly, including its punctuation. We measured attention very well. I am no longer certain we measured faith.",「集計は正確よ。そしてこちらも事実。大半の札が句読点まで掲示と同じ文を写している。注目はよく測れた。でも信仰を測れたかは、もう確信がないわ。」,248,Original
dlg.mtn.measurable_faith.direct,dialogue,char.sanae_kochiya,Yes. I treated your help with the festival as permission to use our image in the next campaign. It was not. The poster comes down before I defend anything else.,「はい。祭りを手伝ってくれたことを、次の宣伝で二人の姿を使う許可だと思い込みました。違いました。何かを弁明する前に、掲示を下ろします。」,248,Original
dlg.mtn.measurable_faith.playful,dialogue,char.sanae_kochiya,"Two signatures. I had one caption and my own enthusiasm, which is still only one answer. I will not call us a pair in public without yours.",「署名は二つ。私にあったのは見出し一つと自分の熱意だけで、それはやはり一人分の返事です。あなたの返事なしに、公の場でコンビとは呼びません。」,248,Original
dlg.mtn.measurable_faith.patient,dialogue,char.sanae_kochiya,Agreed. Consent is not a subcategory of campaign analysis. Your face comes down now; the uncomfortable numbers can wait on the table without using you to soften them.,「その通りです。同意は宣伝分析の小項目ではありません。今すぐあなたの顔を外します。都合の悪い数字は、あなたで和らげず卓上に残しておけます。」,248,Original
dlg.mtn.measurable_faith.defiant,dialogue,char.sanae_kochiya,"They copied the invitation instead of answering it. More copies made the campaign larger, not the belief deeper. I wanted the total to settle a question it cannot answer.",「招きに答えず、招きの文を写したんですね。写しが増えて宣伝は大きくなっても、信仰は深くならない。答えられない問いを、合計で決着させようとしていました。」,248,Original
dlg.mtn.measurable_faith.after_withdraw,dialogue,char.sanae_kochiya,The poster is down. I will keep the audit and the strain between us; removing evidence of my mistake would be another publicity edit.,「掲示は下ろしました。でも監査も、私たちの間のぎこちなさも残します。間違いの証拠を消すのは、また宣伝向けに編集することですから。」,248,Original
dlg.mtn.measurable_faith.after_belief,dialogue,char.sanae_kochiya,"This counter will be labeled attention, not faith. Tomorrow I will ask people what they came to do, and accept answers that doubt us, criticize us, or never mention a miracle.",「この計器は信仰でなく注目と表示します。明日は何をしに来たかを尋ね、私たちを疑う答えも、批判する答えも、奇跡に触れない答えも受け取ります。」,248,Original
journal.mtn.measurable_faith.title,journal_title,,What the Counter Counted,計器が数えたもの,248,Original
journal.mtn.measurable_faith.body,journal_body,,"The campaign exceeded its attendance goal while prayer slips copied its slogan. Sanae withdrew the unasked witness-pair image, kept the resulting strain visible, and relabeled the measure as attention rather than faith.",宣伝は来場目標を超えたが、祈願札はスローガンを写していた。早苗は無断の「見届け人コンビ」画像を撤去し、生じたぎこちなさを消さず、計測対象を信仰でなく注目と改めた。,248,Original
