id,category,profile,godot_scene,components,states,input,localization,assets,acceptance
boot,system,A,res://ui/screens/boot_screen.tscn,loading_mark,loading|saving_migration|error|ready,cancel only during non-destructive loading,brand text <=24 EN / 12 JA glyphs,"brand_mark_64, loading_gohei_16",never shows a blank frame longer than 500ms; error exposes safe quit and retry
language_select,system,A,res://ui/screens/language_select.tscn,frame|choice_card|focus_marker|action_hint,first_boot|from_options,move/confirm/cancel when from options,language names are endonyms; each card <=12 glyphs,"language_stamp_en, language_stamp_ja",chosen font renders sample before confirmation; selection is stored immediately
content_notice,system,A,res://ui/screens/content_notice.tscn,modal|scrollbar|choice_card|action_hint,first_view|revisit,scroll/confirm/cancel,body 33 EN chars x 7 lines or 16 JA glyphs x 7,notice_icons_12,full notice keyboard/pad readable; accept is never pre-committed by held input
title,system,A,res://ui/screens/title_screen.tscn,frame|list_row|focus_marker|loading_mark,fresh|continue_available|no_save|update_notice,move/confirm/cancel/menu,menu <=18 EN / 9 JA glyphs,"title_logo_192x64, title_bg_320x180, season_overlay",logo/background remain readable at 1x; continue hidden only when no valid save exists
profile_select,system,A,res://ui/screens/profile_select.tscn,frame|choice_card|focus_marker|tooltip,choose_default|preview|forced_A,move/confirm/cancel/help,profile label <=14 EN / 7 JA; explanation 42x3 EN,profile_preview_A-D_64x48,profiles change presentation only; forced A statement is explicit
new_game_setup,system,A,res://ui/screens/new_game_setup.tscn,frame|list_row|toggle|slider|tooltip|modal,new|preset_applied|confirm,move/adjust/confirm/cancel/help,labels <=20 EN / 10 JA,"difficulty_stamps_12, input_glyphs",all difficulty/access choices are reversible; no route is chosen here
save_load,system,A,res://ui/screens/save_load.tscn,tab|save_slot|scrollbar|page_indicator|modal|loading_mark,save|load|autosave|empty|overwrite|corrupt,move/confirm/cancel/page/help,chapter/place each <=23 EN / 11 JA,"save_thumbnail_region_64x32, slot_status_8",save waits for flush mark; overwrite has explicit slot identity; corrupt slots are not silently deleted
options,system,A,res://ui/screens/options_screen.tscn,tab|list_row|toggle|slider|tooltip|modal,video|audio|gameplay|language|reset,move/adjust/confirm/cancel/page/help,row label <=24 EN / 12 JA; help 45x3 EN,"option_icons_12, input_glyphs",live preview for scale/profile; cancel restores pre-open values when requested
accessibility,system,A,res://ui/screens/accessibility_screen.tscn,tab|list_row|toggle|slider|tooltip,visual|motion|combat|text|input|audio_cues,move/adjust/confirm/cancel/help,row label <=25 EN / 12 JA,"contrast_test_96x36, bullet_shapes_12",every switch testable in preview; reset is per category; forced A completes all content
pause,system,A,res://ui/screens/pause_screen.tscn,frame|list_row|focus_marker|action_hint,field|danmaku|fighter|minigame,move/confirm/cancel/journal,label <=18 EN / 9 JA,pause_stamp_16,opens within one frame offline; active input is released; combat resumes after 3-frame countdown
