key,_context,_speaker,en,ja,_max_width_px,_origin
obj.sne.ordinary_miracle.inspect,objective,,Inspect the torn Journal strap and the ordinary sewing kit Sanae chose.,切れた日誌の肩紐と、早苗が選んだ普通の裁縫道具を確かめる。,208,Original
event.sne.ordinary_miracle.title,event_title,,The Ordinary Miracle,普通の奇跡,208,Original
choice.sne.ordinary_miracle.direct,choice,,You fixed what I still have to carry next.,次に自分で背負うものを直してくれたと伝える。,248,Original
choice.sne.ordinary_miracle.playful,choice,,No applause—but that stitch may outlast the ropeway.,拍手はないけれど、その縫い目は索道より長持ちしそうだと言う。,248,Original
choice.sne.ordinary_miracle.patient,choice,,Let the repair matter without forcing her to explain why.,なぜかを説明させず、修理の重みをそのままにする。,248,Original
choice.sne.ordinary_miracle.defiant,choice,,Do not call help “nothing” merely because no power answered.,力が応えなかったからといって、助けを「何でもない」と呼ばないでと告げる。,248,Original
dlg.sne.ordinary_miracle.shortcut,dialogue,char.sanae_kochiya,"I can call one gust to carry the bag to the shrine. The condition is that it only solves this trip. The strap will still fail the next time you carry it yourself.",「一度だけ風を呼んで、鞄を神社まで運べます。ただし解決するのは今回の移動だけ。次に自分で背負えば、肩紐はまた切れます。」,248,Original
dlg.sne.ordinary_miracle.repair,dialogue,char.sanae_kochiya,"So no miracle clause. Sit under the shelter and hand me the plain thread. I cannot make sewing dramatic, but I can make the load yours again.",「だから奇跡の特例は使いません。屋根の下に座って、普通の糸をください。裁縫を劇的にはできませんが、またあなたが背負えるようにはできます。」,248,Original
dlg.sne.ordinary_miracle.direct,dialogue,char.sanae_kochiya,"That sounds more important than carrying it for you once. I expected the absence of power to make the act smaller. Instead it makes the next part unmistakably yours.",「一度代わりに運ぶより、大事に聞こえます。力を使わなければ行為は小さくなると思っていました。でも次の道が確かにあなたのものになるんですね。」,248,Original
dlg.sne.ordinary_miracle.playful,dialogue,char.sanae_kochiya,"Please do not challenge shrine infrastructure with my backstitch. Still—if it survives tomorrow without witnesses, I may be prouder of it than one spectacular gust.",「私の返し縫いを神社の設備と競わせないでください。でも、明日誰も見ていなくても持つなら、派手な一陣の風より誇らしいかもしれません。」,248,Original
dlg.sne.ordinary_miracle.patient,dialogue,char.sanae_kochiya,"Then I will not turn it into a lesson. The seam can hold, the rain can continue, and I can be unsettled by how much this matters without naming it yet.",「では教訓にはしません。縫い目は支え、雨は降り続け、私はこれが思った以上に大切なことに戸惑ったまま、まだ名前を付けずにいられます。」,248,Original
dlg.sne.ordinary_miracle.defiant,dialogue,char.sanae_kochiya,"You're right. Calling it nothing protects my idea of what worthy help should look like. It does not honor the time, the repair, or what you trusted me to hold.",「その通りです。何でもないと呼べば、価値ある助けの見た目についての私の考えは守れます。でも時間も修理も、預けてくれたものも大切にしていません。」,248,Original
dlg.sne.ordinary_miracle.after_test,dialogue,char.sanae_kochiya,"The reinforced seam holds the full Journal and both keepsakes. Walk ten steps before we leave; care includes checking whether the ordinary solution works.",「補強した縫い目は、日誌と二つの形見を入れても持ちます。出発前に十歩歩いてください。普通の解決が働くか確かめるところまでが手当てです。」,248,Original
dlg.sne.ordinary_miracle.after_meaning,dialogue,char.sanae_kochiya,"It was not a miracle. It does not need that title to matter. Take it—the next road and everything in this bag remain yours to carry.",「奇跡ではありません。でも大切になるために、その名前は要りません。どうぞ。次の道も、この鞄の中身も、あなたが背負うものです。」,248,Original
journal.sne.ordinary_miracle.title,journal_title,,The Load Made Yours Again,もう一度自分の荷物に,248,Original
journal.sne.ordinary_miracle.body,journal_body,,Sanae refused a wind shortcut that would move the bag without fixing it. Her ordinary repair held the Journal and returned the next road to the person who had to carry it.,早苗は、鞄を動かすだけで直さない風の近道を選ばなかった。普通の修理は日誌を支え、次の道を、それを背負う本人に返した。,248,Original
