key,context,speaker,en,ja,max_width_px,origin
obj.yyk.bottomless_banquet.read_table,objective,,Balance courses and stories by reading Yuyuko's fan and Youmu's serving limit.,幽々子の扇と妖夢の給仕上限を読み、料理と物語の釣り合いを取る。,208,Original
event.yyk.bottomless_banquet.title,event_title,,Bottomless Banquet,底なしの宴,208,Original
choice.yyk.bottomless_banquet.direct,choice,,Ask which fan cue means food, story, or wait.,どの扇の合図が料理、物語、待機を示すのか尋ねる。,248,Original
choice.yyk.bottomless_banquet.playful,choice,,Serve the next course only after the table earns it with a story.,卓が物語で次の料理を勝ち取った時だけ給仕する。,248,Original
choice.yyk.bottomless_banquet.patient,choice,,Watch the fan and pause when Yuyuko stops it for a hesitant guest.,扇を見守り、幽々子がためらう客のために止めたら給仕も止める。,248,Original
choice.yyk.bottomless_banquet.defiant,choice,,Refuse to make Youmu chase an endless stack of empty bowls.,妖夢に果てしない空の椀を追わせることを拒む。,248,Original
dlg.yyk.bottomless_banquet.hosting_joke,dialogue,char.yuyuko_saigyouji,"They call it a bottomless banquet because Youmu hid the replacement bowls beneath the table. Please look impressed; the carpentry worked very hard.",「底なしの宴と呼ぶのは、妖夢が替えの椀を卓の下に隠したからなの。感心した顔をしてね。大工仕事がとても頑張ったのだから。」,248,Original
dlg.yyk.bottomless_banquet.kitchen_terms,dialogue,char.youmu_konpaku,"Three courses are ready, not infinity. Lady Yuyuko can draw out the guests who have not spoken. Watch her fan, and do not send me a tray before its turn.",「用意できているのは三品です。無限ではありません。まだ話していない客は幽々子様が促してくださいます。扇を見て、順番より先に盆を寄越さないでください。」,248,Original
dlg.yyk.bottomless_banquet.direct,dialogue,char.yuyuko_saigyouji,"Open fan: invite the story. One tap on the rim: bring the dish. A stopped fan means wait, even if my bowl is empty. Especially then, perhaps.",「扇を開いたら物語を招く。縁を一度叩いたら料理を運ぶ。扇が止まったら、私の椀が空でも待つこと。むしろ、そんな時こそね。」,248,Original
dlg.yyk.bottomless_banquet.playful,dialogue,char.yuyuko_saigyouji,"A banquet with plot requirements—how demanding. Very well. No dumpling enters without a beginning, middle, or at least a convincing ghost in the ending.",「筋書きを求める宴だなんて、厳しいわね。いいでしょう。始まりと途中、せめて結末に説得力のある幽霊がなければ、団子は入場禁止よ。」,248,Original
dlg.yyk.bottomless_banquet.patient,dialogue,char.yuyuko_saigyouji,"You noticed. Hunger can wait for one frightened sentence. If we cover it with another plate, our guest may decide silence was the safer course.",「気づいたのね。空腹は、怯えた一文くらい待てるわ。別の皿で覆ってしまえば、客は沈黙の方が安全な一品だったと思うかもしれないもの。」,248,Original
dlg.yyk.bottomless_banquet.defiant,dialogue,char.yuyuko_saigyouji,"Quite right. Bottomless is a title, not Youmu's labor contract. Three courses, then, and the fourth may remain a beautiful rumor.",「まったくね。底なしは題名であって、妖夢の労働契約ではないわ。では三品まで。四品目は美しい噂のままにしましょう。」,248,Original
dlg.yyk.bottomless_banquet.clear,dialogue,char.yuyuko_saigyouji,"Every guest finished a story, every course found its moment, and Youmu has no orphaned tray. A full table is measured by attention before quantity.",「すべての客が物語を終え、すべての料理に出番があり、妖夢の盆も取り残されなかった。満ちた卓は、量より先に心配りで測るものね。」,248,Original
dlg.yyk.bottomless_banquet.assist,dialogue,char.yuyuko_saigyouji,"Follow the pale drift beside the third cushion. It tells us where the conversation caught, not what the guest keeps private. Offer a pause, not an interrogation.",「三つ目の座布団の横にある淡い流れを追って。会話がどこでつかえたかは分かっても、客が何を隠しているかは分からない。尋問ではなく、間を差し出して。」,248,Original
dlg.yyk.bottomless_banquet.loss,dialogue,char.yuyuko_saigyouji,"Let us stop before haste eats the table. I will divide this plate, move the story cards, and ask Youmu for nothing more. A host may reset her own banquet.",「急ぎが卓を食べてしまう前に止めましょう。この皿は私が分け、物語札を移し、妖夢にはこれ以上頼まない。主人なら、自分の宴を組み直せるもの。」,248,Original
dlg.yyk.bottomless_banquet.after,dialogue,char.yuyuko_saigyouji,"Appetite keeps a table moving when movement helps. A host also knows when the next bite would swallow someone else's turn. That interval was the real last course.",「食欲は、動くことが役に立つ時に卓を進める。でも主人は、次の一口が誰かの順番を飲み込む時も知っているもの。あの間こそ、本当の最後の一品だったわ。」,248,Original
journal.yyk.bottomless_banquet.title,journal_title,,The Interval Between Courses,料理の間,248,Original
journal.yyk.bottomless_banquet.body,journal_body,,Yuyuko's appetite kept the banquet lively, but her fan cues protected hesitant stories and Youmu's finite kitchen work. Clear, assisted, and reset tables all showed that hosting skill—not endless consumption—made the feast feel full.,幽々子の食欲は宴を賑やかにしたが、扇の合図はためらう物語と妖夢の有限な厨房仕事を守った。成功しても、助けを借りても、卓を組み直しても、宴を満たしたのは果てしない消費ではなく主人の技量だった。,248,Original
