key,context,speaker,en,ja,max_width_px,origin
obj.rml.predestination_exhibit.inspect_unopened,objective,,Inspect the converging panels without opening the Archive's proof seal.,書庫の証明封印を開けずに、収束する展示板を調べる。,208,Original
event.rml.predestination_exhibit.title,event_title,,Predestination Exhibit,予定された運命の展示,208,Original
choice.rml.predestination_exhibit.direct,choice,,Say that a fate unable to fail would no longer be hers to declare.,失敗できない運命なら、もう彼女が宣言するものではないと言う。,248,Original
choice.rml.predestination_exhibit.playful,choice,,Call an exhibit that prints the ending at the entrance badly staged.,入口で結末を印刷する展示は、演出が悪いと言う。,248,Original
choice.rml.predestination_exhibit.patient,choice,,Decline to read and ask what Remilia wants done with the proof.,読むのを断り、その証明をどうしたいかレミリアに尋ねる。,248,Original
choice.rml.predestination_exhibit.defiant,choice,,Reject predetermined intimacy as certainty falsely labeled consent.,あらかじめ決められた親密さは、同意と偽って呼ばれた確定にすぎないと退ける。,248,Original
dlg.rml.predestination_exhibit.claim,dialogue,char.remilia_scarlet,"The Archive claims every meeting was inevitable: your arrival, my invitation, even this objection. How considerate of it to frame its own conclusion.",「書庫は、すべての出会いが必然だったと主張している。あなたの来訪も、私の招きも、この異議さえも。自分の結論に額縁まで用意するとは、ずいぶん親切ね。」,248,Original
dlg.rml.predestination_exhibit.boundary,dialogue,char.remilia_scarlet,"Do not open the seal. Proof offered before a question often intends to replace the question. I have not yet said what I want from it.",「封印を開けないで。問いより先に差し出される証明は、問いを置き換えるつもりでいることが多い。これをどうしたいか、私はまだ言っていないわ。」,248,Original
dlg.rml.predestination_exhibit.direct,dialogue,char.remilia_scarlet,"Precisely. A fate that cannot be disobeyed is not mine; it is machinery. My declarations require the excellent possibility that someone misses the cue.",「その通り。逆らえない運命は私のものではなく、ただの機械よ。私の宣言には、誰かが合図を外すという素晴らしい可能性が要るの。」,248,Original
dlg.rml.predestination_exhibit.playful,dialogue,char.remilia_scarlet,"Worse than badly staged—it is terrified of an audience. Any exhibit that gives away the ending at the door deserves an empty final panel.",「演出が悪いどころか、観客を怖がっているわ。入口で結末を明かす展示には、空白の最終板がお似合いよ。」,248,Original
dlg.rml.predestination_exhibit.patient,dialogue,char.remilia_scarlet,"I want it unable to answer. Thank you for asking before satisfying your curiosity. Stand back; the seal and I are about to disagree.",「答えられないようにしたい。好奇心を満たす前に聞いてくれたことには礼を言うわ。下がりなさい。封印と私で意見が合わなくなるところよ。」,248,Original
dlg.rml.predestination_exhibit.defiant,dialogue,char.remilia_scarlet,"It offers certainty and labels it consent. Poor vocabulary, worse manners. No intimacy becomes chosen merely because a document claims it was always coming.",「確定を差し出して、同意と札を付けている。語彙も作法もひどいものね。書類が最初から決まっていたと主張しても、親密さが選ばれたものにはならないわ。」,248,Original
dlg.rml.predestination_exhibit.after,dialogue,char.remilia_scarlet,"There. I proclaim fates because they invite the world to surprise me. This proof cannot tell us what our choices meant before we made them—and it cannot tell us the next one.",「これでいい。私が運命を宣言するのは、世界に私を驚かせるよう招くためよ。この証明には、選ぶ前から私たちの選択の意味を決めることも、次の選択を告げることもできないわ。」,248,Original
journal.rml.predestination_exhibit.title,journal_title,,The Panel That No Longer Converges,もう収束しない展示板,248,Original
journal.rml.predestination_exhibit.body,journal_body,,The Archive offered proof that every meeting had been inevitable. Remilia destroyed it herself, preserving the possibility that declarations fail and preventing later certainty from rewriting earlier choices; her actual ability remained unproven.,書庫はすべての出会いが必然だったという証明を差し出した。レミリアは自らそれを壊し、宣言が外れる可能性を残して、後からの確定が以前の選択を書き換えることを拒んだ。彼女の実際の能力は証明されないまま残った。,248,Original
