key,_context,_speaker,en,ja,_max_width_px,_origin
obj.tsh.heaven_without_friction.inspect,objective,,"Inspect the identical cloud grid, locked refusal box, and unused irregular anchor.",同じ雲の格子、ロックされた拒否箱、使われない不規則な要石を調べる。,208,Original
event.tsh.heaven_without_friction.title,event_title,,A Heaven Without Friction,摩擦のない天界,208,Original
choice.tsh.heaven_without_friction.direct,choice,,Say that another person cannot be reduced to a challenge target band.,他人を課題の目標帯に縮めることはできないと言う。,248,Original
choice.tsh.heaven_without_friction.playful,choice,,Ask whether scripted applause is boring before it starts.,台本どおりの拍手は始まる前から退屈ではないかと尋ねる。,248,Original
choice.tsh.heaven_without_friction.patient,choice,,Keep the refusal box unused so the next answer can still be no.,次の答えがまだ「いいえ」になれるよう、拒否箱を使わずに残す。,248,Original
choice.tsh.heaven_without_friction.defiant,choice,,Refuse a future designed so nothing can resist Tenshi.,何も天子に抵抗できないよう作られた未来を拒む。,248,Original
dlg.tsh.heaven_without_friction.offer,dialogue,char.iku_nagae,"The Archive can schedule novelty, conflict, and applause at exact intervals. It calls the result permanent stimulation. It also prevents any participant from declining their assigned part.",「Archive は新奇さ、対立、拍手を正確な間隔で予定できます。それを永続的な刺激と呼んでいます。同時に、参加者が割り当てられた役を断ることも防ぎます。」,248,Original
dlg.tsh.heaven_without_friction.repeat,dialogue,char.tenshi_hinanawi,It knows when I will be bored and feeds me a surprise on schedule. That is not surprise. It is a bell with a better vocabulary.,「私がいつ退屈するか知って、予定どおり驚きを食べさせる。それは驚きじゃない。語彙が少し良いだけの呼び鈴よ。」,248,Original
dlg.tsh.heaven_without_friction.reject,dialogue,char.tenshi_hinanawi,No. I do not want a world calibrated to keep me interested if it cannot tell me no. I am rejecting this before you answer anything.,「いいえ。私を飽きさせないよう調整された世界なんて、私に『駄目』と言えないなら要らない。あなたが何か答える前に、これは断る。」,248,Original
dlg.tsh.heaven_without_friction.direct,dialogue,char.tenshi_hinanawi,Exactly. A person who can only produce the right resistance is another machine in the gallery. I want an answer that can surprise me because it belongs to them.,「その通り。正しい抵抗しか出せない人は、展示室の別の機械になる。その人のものだから私を驚かせられる答えが欲しい。」,248,Original
dlg.tsh.heaven_without_friction.playful,dialogue,char.tenshi_hinanawi,"Scripted applause is a warning sound. If I know it will arrive, it cannot tell me whether I did anything worth hearing.",「台本どおりの拍手は警報音ね。来ると分かっているなら、私が聞く価値のあることをしたか教えてくれない。」,248,Original
dlg.tsh.heaven_without_friction.patient,dialogue,char.tenshi_hinanawi,Leave the box unused. A no that remains possible is more interesting than a yes the system can already print for us.,「箱は使わずに残す。まだ可能な『いいえ』の方が、仕組みが先に印刷できる『はい』より面白い。」,248,Original
dlg.tsh.heaven_without_friction.defiant,dialogue,char.tenshi_hinanawi,"Nothing resists me, nothing changes its mind, and I never need to repair anything. That is not Heaven. That is a room built to make me smaller.",「何も私に抵抗せず、誰も気を変えず、私は何も直さなくていい。それは天界じゃない。私を小さくするための部屋よ。」,248,Original
dlg.tsh.heaven_without_friction.after,dialogue,char.tenshi_hinanawi,"Friction is not permission to damage people. It is the fact that they can answer, leave, refuse, and still be more than my next event.",「摩擦は人を傷つけていい許可じゃない。相手が答え、去り、拒み、それでも私の次のイベント以上でいられるという事実よ。」,248,Original
journal.tsh.heaven_without_friction.title,journal_title,,The Answer Not Yet Written,まだ書かれていない答え,248,Original
journal.tsh.heaven_without_friction.body,journal_body,,"Tenshi rejected an Archive that would schedule her stimulation and prewrite everyone else's answer. She chose surprise, refusal, repair, and an irregular future over a world built to keep her entertained.",天子は自分の刺激を予定し、他人の答えを先に書く Archive を拒んだ。彼女は、自分を楽しませるために作られた世界より、驚き、拒絶、修復、不規則な未来を選んだ。,248,Original
