cue_id,section,scene_or_system,mood_function,touhou_reference_en,touhou_reference_ja,source_work,arrangement_brief,loop,priority
mus_title,system,Title screen,fragile invitation,Eternal Shrine Maiden,永遠の巫女,Highly Responsive to Prayers,Pulse duet with one missing cadence; acoustic bell enters only after input.,yes,A
mus_prologue_outside,system,Outside World prologue,"lonely, technologically cold",Last Occultism ~ Esotericist of the Present World,ラストオカルティズム ～ 現し世の秘術師,Urban Legend in Limbo,"LCD pulse, train-crossing rhythm, distant piano; do not reveal full melody.",yes,A
mus_border_crossing,system,Crossing the boundary,wonder and danger,Necrofantasia,ネクロファンタジア,Perfect Cherry Blossom,Break the motif into alternating left/right pulse fragments and a folding-noise sweep.,no,A
mus_world_map_day,system,World map day,"possibility, gentle planning",The Gensokyo the Gods Loved,神々が恋した幻想郷,Mountain of Faith,Small organ and pulse; region nodes add two-note ornaments.,yes,A
mus_world_map_night,system,World map night,quiet anticipation,Eastern Night,永夜の報い ～ Imperishable Night,Imperishable Night,Sparse triangle bass and bell-like square lead; keep navigation calm.,yes,B
mus_journal,system,Monochrome Journal,"reflection, incomplete memory",Child of Are,阿礼の子供,Perfect Memento in Strict Sense CD,"Prepared-piano notes, paper noise, short looping phrase with blank bars.",yes,A
mus_rumor,system,Rumor screen / newspaper,"curiosity, unreliable information",Tengu is Watching ~ Black Eyes,天狗が見ている ～ Black Eyes,Shoot the Bullet,Fast plucked ostinato with camera-shutter noise channel; layers mutate with confidence.,yes,B
mus_route_threshold,system,Deep-route threshold,recognition without triumph,Theme fragment of active character,キャラクター曲の断片,various,"Four-to-eight bars, solo instrument, no generic romance swell.",no,A
mus_archive_boss,system,Final Archive battle,familiarity turned hostile,Dichromatic Butterfly ~ Ancients,二色蓮花蝶 ～ Ancients,Seihou / later arrangements,Composite motifs in strict 1-bit pulse counterpoint; player habits determine interruptions.,yes,A
mus_ending,system,Epilogue,change accepted,Theme of Eastern Story,テーマ・オブ・イースタンストーリー,Touhou series motif,Simple piano/pulse statement; leave the final measure unresolved until route tag.,no,A
mus_shrine_day,hakurei_shrine,Shrine ordinary exploration,"dry warmth, open sky",Spring Lane ~ Colorful Path,春色小径 ～ Colorful Path,Phantasmagoria of Flower View,Woodblock and dry pulse; relaxed tempo with space between phrases.,yes,A
mus_reimu_private,hakurei_shrine,Reimu route private beat,understated domestic closeness,Maiden's Capriccio ~ Dream Battle,少女綺想曲 ～ Dream Battle,Imperishable Night,Slow fragment in solo piano and soft triangle; avoid sentimental overstatement.,no,A
mus_marisa_arrival,hakurei_shrine,Marisa entrance / chase,kinetic interruption,Love-Colored Master Spark,恋色マスタースパーク,Imperishable Night,"Brisk pulse lead, broom-like noise rise, abrupt but musical collision with shrine loop.",yes,A
mus_marisa_night,forest_magic,Marisa late laboratory beat,effort behind bravado,Magus Night,メイガスナイト,Fairy Wars,Low-register piano and ticking glass; melody only fully appears after a failed experiment.,no,A
mus_shrine_duel,hakurei_shrine,Reimu versus Marisa story duel,familiar rivalry,Maiden’s Capriccio / Love-Colored Master Spark,少女綺想曲 / 恋色マスタースパーク,Imperishable Night,Call-and-response medley; alternate bars own the neutral space.,yes,A
mus_sdm_foyer,scarlet_devil_mansion,Mansion foyer,"formal, playful menace",A Soul as Red as a Ground Cherry,ほおずきみたいに紅い魂,Embodiment of Scarlet Devil,"Muted reed lead, clock percussion, low pulse bass.",yes,A
mus_misty_lake,misty_lake,Lake approach,"mist, fairy mischief",Lunate Elf,ルーネイトエルフ,Embodiment of Scarlet Devil,"Light arpeggio, water noise, sudden frozen rests.",yes,B
mus_meiling_gate,scarlet_devil_mansion,Gate / Meiling event,relaxed vigilance,Shanghai Scarlet Teahouse ~ Chinese Tea,上海紅茶館 ～ Chinese Tea,Embodiment of Scarlet Devil,Plucked-string rhythm and warm pulse melody; martial hits become percussion.,yes,B
mus_library,scarlet_devil_mansion,Great Library exploration,"dense knowledge, low air","Voile, the Magic Library",ヴワル魔法図書館,Embodiment of Scarlet Devil,"Slow organ chords, page-turn noise, melody withheld.",yes,A
mus_patchouli_route,scarlet_devil_mansion,Patchouli research / afterbeat,intellectual intimacy,Locked Girl ~ The Girl’s Secret Room,ラクトガール ～ 少女密室,Embodiment of Scarlet Devil,Chamber pulse with bass clarinet or cello; breath and silence shape phrases.,no,A
mus_sakuya_clock,scarlet_devil_mansion,Lost minute incident,precision under strain,Lunar Clock ~ Luna Dial,月時計 ～ ルナ・ダイアル,Embodiment of Scarlet Devil,"7+1 beat cycle, knife ticks, missing eighth beat restored in afterbeat.",yes,A
mus_sakuya_kitchen,scarlet_devil_mansion,Kitchen service minigame,controlled bustle,The Maid and the Pocket Watch of Blood,メイドと血の懐中時計,Embodiment of Scarlet Devil,Fast pizzicato grid with audible station cues and clean failure cadence.,yes,A
mus_remilia_route,scarlet_devil_mansion,Remilia private balcony,theater giving way to honesty,Septette for a Dead Princess,亡き王女の為のセプテット,Embodiment of Scarlet Devil,Small piano and muted brass; strip away regal accompaniment one layer at a time.,no,A
mus_flandre_event,scarlet_devil_mansion,Flandre fracture puzzle,"curiosity, dangerous play",U.N. Owen Was Her?,U.N.オーエンは彼女なのか？,Embodiment of Scarlet Devil,Use motif as broken toy-box cells; avoid constant maximum intensity.,yes,B
mus_hakugyokurou,hakugyokurou,Garden exploration,"vast, orderly, transient",The Capital City of Flowers in the Sky,天空の花の都,Perfect Cherry Blossom,Long-breath flute line over sparse pulse and petal noise.,yes,A
mus_youmu_training,hakugyokurou,Youmu training / duel,discipline and unfinished confidence,Hiroari Shoots a Strange Bird ~ Till When?,広有射怪鳥事 ～ Till When?,Perfect Cherry Blossom,"Sharp shamisen-like attack, delayed second strike, alternating half-phantom echo.",yes,A
mus_youmu_afterbeat,hakugyokurou,Petal lands / Youmu route,"release, sincere resolve",Hiroari Shoots a Strange Bird ~ Till When?,広有射怪鳥事 ～ Till When?,Perfect Cherry Blossom,"Solo bowed string, phrase ends one beat later than expected.",no,A
mus_yuyuko_banquet,hakugyokurou,Meal and ghost comedy,graceful appetite,"Bloom Nobly, Ink-Black Cherry Blossom ~ Border of Life",幽雅に咲かせ、墨染の桜 ～ Border of Life,Perfect Cherry Blossom,"Light dance arrangement with plate/wood percussion, never slapstick-only.",yes,B
mus_yuyuko_private,hakugyokurou,Yuyuko route / farewell,beauty containing death,Border of Life,ボーダーオブライフ,Perfect Cherry Blossom,Non-looping piano/organ; quote only after the player lets a memory end.,no,A
mus_yukari_private,hakugyokurou,Yukari high-context scene,"old friendship, unreadable borders",Necrofantasia,ネクロファンタジア,Perfect Cherry Blossom,Slow asymmetrical chamber reduction; route-independent.,no,B
mus_mountain_base,youkai_mountain,Mountain trail,"wind, work, layered society",Fall of Fall ~ Autumnal Waterfall,フォールオブフォール ～ 秋めく滝,Mountain of Faith,Directional hatching translated into panned noise and bright pulse arpeggio.,yes,A
mus_nitori_workshop,youkai_mountain,Kappa workshop,inventive commerce,Akutagawa Ryuunosuke’s Kappa ~ Candid Friend,芥川龍之介の河童 ～ Candid Friend,Mountain of Faith,"Mechanical groove made from water drops, ratchets, and pulse bass.",yes,A
mus_hina_event,youkai_mountain,Misfortune wheel,circular unease,Dark Side of Fate,運命のダークサイド,Mountain of Faith,Rotating 6/8 ostinato with clean accessibility pulse.,yes,B
mus_aya_chase,youkai_mountain,Photo-graze chase,"speed, opportunism",Wind God Girl,風神少女,Phantasmagoria of Flower View / Bohemian Archive,Compressed fast arrangement; camera captures mute one beat of the mix.,yes,A
mus_aya_afterbeat,youkai_mountain,Aya lowers camera,truth without publication,Wind God Girl,風神少女,Bohemian Archive in Japanese Red,"Solo flute/clarinet, no shutter, wind room tone remains.",no,A
mus_moriya_path,moriya_shrine,Moriya approach,sacred modernity,The Primal Scene of Japan the Girl Saw,少女が見た日本の原風景,Mountain of Faith,Folk-like lead with clean synthesized undertone.,yes,A
mus_sanae_route,moriya_shrine,Sanae route,"earnest miracle, displacement",Faith Is for the Transient People,信仰は儚き人間の為に,Mountain of Faith,Bright but intimate trio; use modern rhythmic accent without pop pastiche.,no,A
mus_kanako_policy,moriya_shrine,Kanako project / boss,ambition and infrastructure,The Venerable Ancient Battlefield ~ Suwa Foughten Field,神さびた古戦場 ～ Suwa Foughten Field,Mountain of Faith,Heavy drum/organ hybrid; clear phase landmarks.,yes,B
mus_suwako_ritual,moriya_shrine,Suwako ritual minigame,ancient playfulness,Native Faith,ネイティブフェイス,Mountain of Faith,Bouncy asymmetrical pulse with frog-call-like synthesized clicks.,yes,B
mus_bamboo_forest,eientei,Bamboo forest navigation,beautiful disorientation,Cinderella Cage ~ Kagome-Kagome,シンデレラケージ ～ Kagome-Kagome,Imperishable Night,Vertical ostinato; alternate loop variants differ by one measure.,yes,A
mus_tewi_shortcut,eientei,Tewi shortcut market,lucky nuisance,White Flag of Usa Shrine,お宇佐さまの素い幡,Phantasmagoria of Flower View,Short plucked loop with counterfeit clear stings.,yes,B
mus_reisen_wave,eientei,Reisen wavelength event,"anxiety, perception",Lunatic Eyes ~ Invisible Full Moon,狂気の瞳 ～ Invisible Full Moon,Imperishable Night,"Pulse phase-cancellation effect; accessibility version uses rhythm, not stereo alone.",yes,A
mus_eirin_lab,eientei,Eirin investigation,"clinical intellect, responsibility",Gensokyo Millennium ~ History of the Moon,千年幻想郷 ～ History of the Moon,Imperishable Night,Measured piano and triangle; avoid “mad scientist” novelty scoring.,yes,A
mus_eirin_route,eientei,Eirin private route beat,care versus control,Gensokyo Millennium ~ History of the Moon,千年幻想郷 ～ History of the Moon,Imperishable Night,Solo cello/piano reduction; audible room tone and unanswered cadence.,no,A
mus_kaguya_errands,eientei,Five Impossible Errands,"regal challenge, comic inconvenience",Flight of the Bamboo Cutter ~ Lunatic Princess,竹取飛翔 ～ Lunatic Princess,Imperishable Night,"Five modular variations, one per errand, sharing bass and cadence.",yes,A
mus_kaguya_afterbeat,eientei,Kaguya allows morning,eternity choosing change,Flight of the Bamboo Cutter ~ Lunatic Princess,竹取飛翔 ～ Lunatic Princess,Imperishable Night,Very slow piano statement; final note coincides with first bird ambience.,no,A
