key,context,speaker,en,ja,max_width_px,origin
obj.sne.faith_festival_planner.compare,objective,,Compare the miracle schedule, protected safety lane, and prayer space before opening the festival.,祭りを始める前に、奇跡の予定、安全動線、祈りの場を照らし合わせる。,208,Original
event.sne.faith_festival_planner.title,event_title,,Faith Festival Planner,信仰祭の計画,208,Original
choice.sne.faith_festival_planner.direct,choice,,Name spectacle, safety, and sincere worship as three separate obligations.,見世物と安全と真摯な祈りを、三つの別々の責務として示す。,248,Original
choice.sne.faith_festival_planner.playful,choice,,Give the miracle one performance; let every later slot surprise people differently.,奇跡は一度だけ披露し、その後の枠は別の方法で人を驚かせる。,248,Original
choice.sne.faith_festival_planner.patient,choice,,Ask what a worshipper can still do when nobody is watching the stage.,誰も舞台を見ていない時でも、参拝者に何ができるか尋ねる。,248,Original
choice.sne.faith_festival_planner.defiant,choice,,Cross out any total that lets applause compensate for danger or empty ritual.,拍手で危険や空虚な儀式を埋め合わせられる合計点を退ける。,248,Original
dlg.sne.faith_festival_planner.sanae_plan,dialogue,char.sanae_kochiya,"Three columns: what draws attention, what gets everyone home safely, and what remains worship even with no audience. If one column erases another, the plan is unfinished.",「三つの欄です。人を引きつけるもの、全員を安全に帰すもの、観客がいなくても祈りであるもの。一つが別の欄を消すなら、計画は未完成です。」,248,Original
dlg.sne.faith_festival_planner.kanako_condition,dialogue,char.kanako_yasaka,"The platform can carry the crowd we expect, not every crowd a successful miracle might create. Keep this lane empty, even when another stall would improve the count.",「舞台が支えられるのは予想した人出よ。成功した奇跡が呼び込む全員ではない。この動線は空けなさい。店を増やせば数字が伸びてもね。」,248,Original
dlg.sne.faith_festival_planner.suwako_condition,dialogue,char.suwako_moriya,"A prayer that only works while the stage is loud is a performance cue. Leave one place where a person can arrive late, say nothing, and still be heard.",「舞台が賑やかな時にしか働かない祈りなら、演目の合図だよ。遅れて来て、何も言わなくても、ちゃんと届く場所を一つ残して。」,248,Original
dlg.sne.faith_festival_planner.direct,dialogue,char.sanae_kochiya,"Agreed. These are not three bids for the same space. I will reject any layout that treats one obligation as payment for neglecting another.",「その通りです。同じ場所を奪い合う三つの案ではありません。一つを果たせば別を怠っていいという配置は、私が退けます。」,248,Original
dlg.sne.faith_festival_planner.playful,dialogue,char.sanae_kochiya,"One miracle, performed once. After that, the surprise can be an empty path, an answered question, or tea arriving before anyone has to ask twice.",「奇跡は一つ、一度だけ。その後の驚きは、空いた道でも、答えられた問いでも、二度頼む前に届くお茶でもいいんです。」,248,Original
dlg.sne.faith_festival_planner.patient,dialogue,char.sanae_kochiya,"Then the prayer board faces away from the platform. No cheering prompt, no witness tally. I want to know whether I can tend what nobody applauds.",「では祈願板は舞台と反対に向けます。拍手の合図も、目撃者の集計もなし。誰にも褒められないものを、私が守れるか確かめたいです。」,248,Original
dlg.sne.faith_festival_planner.defiant,dialogue,char.sanae_kochiya,"You're right. A crowded unsafe festival is not almost successful, and a loud empty ritual is not sincere by average. There will be no master score.",「そうですね。混雑して危険な祭りは『ほぼ成功』ではなく、騒がしく空虚な儀式も平均点で真摯にはなりません。総合点は作りません。」,248,Original
dlg.sne.faith_festival_planner.clear,dialogue,char.sanae_kochiya,"The miracle has one slot, the safety lane has no price, and the quiet board remains open after the crowd leaves. This is a festival plan, not a ranking.",「奇跡は一枠、安全動線は値踏みせず、静かな祈願板は人が帰った後も開けておく。これは祭りの計画であって、順位表ではありません。」,248,Original
dlg.sne.faith_festival_planner.assist,dialogue,char.sanae_kochiya,"Those constraint markers help. I will redraw the route myself; assistance should make the obligations legible, not quietly choose which one I abandon.",「その条件札は助かります。経路は私が引き直します。補助は責務を見やすくするもので、どれを捨てるかを勝手に選ぶものではありません。」,248,Original
dlg.sne.faith_festival_planner.loss,dialogue,char.sanae_kochiya,"Stop the opening notice. We found a plan that cannot protect all three duties, so we found a plan we will not run. That is useful work, not a failed festival.",「開祭の告知を止めます。三つの責務を守れない案だと分かったなら、実行しない案が分かったということです。これは有用な仕事で、祭りの失敗ではありません。」,248,Original
dlg.sne.faith_festival_planner.after,dialogue,char.sanae_kochiya,"A miracle should matter after the applause. Tomorrow, I will check whether the lane stayed clear and whether someone used the prayer board when no one was counting.",「奇跡は拍手の後にも意味を持つべきです。明日、動線が空いていたか、誰も数えていない時に祈願板が使われたかを確かめます。」,248,Original
journal.sne.faith_festival_planner.title,journal_title,,Three Obligations,三つの責務,248,Original
journal.sne.faith_festival_planner.body,journal_body,,Sanae planned one witnessed miracle while protecting an unpriced safety lane and a prayer space that remained valid without spectators. An unfit layout was something to stop—not average into success.,早苗は一度だけ目撃される奇跡を計画し、値踏みされない安全動線と、観客なしでも成立する祈りの場を守った。不適格な配置は平均点で成功にするのでなく、止めるべきものだった。,248,Original
