key,context,speaker,en,ja,max_width_px,origin
obj.ein.patient_refuses.preserve,objective,,"Keep the declined scan closed, preserve the patient's words, and offer choices that do not make refusal a debt.",断られた検査は閉じたままにし、患者の言葉を保ち、拒否を負債にしない選択肢を用意する。,208,Original
event.ein.patient_refuses.title,event_title,,The Patient Who Says No,「いいえ」と言う患者,208,Original
choice.ein.patient_refuses.direct,choice,,"Record ""no"" as a complete answer.",「いいえ」を記録の不備ではなく、完全な回答として残す。,248,Original
choice.ein.patient_refuses.playful,choice,,"The quickest safe test stops at ""no"".",最も素早く安全な検査は、「いいえ」で止まる。,248,Original
choice.ein.patient_refuses.patient,choice,,Offer a later visit without asking why.,理由を尋ねず、後日の来院を提案する。,248,Original
choice.ein.patient_refuses.defiant,choice,,Close the Lens even if the result helps.,結果が役立つとしても、レンズを閉じる。,248,Original
choice.ein.patient_refuses.player_yes,choice,,Yes. One wrist reading for calibration.,はい。校正のために手首で一度だけ測定する。,248,Original
choice.ein.patient_refuses.player_no,choice,,No. Keep the case closed.,いいえ。ケースは閉じたままにして。,248,Original
dlg.ein.patient_refuses.reisen_report,dialogue,char.reisen_udongein_inaba,"The patient declined the lunar-residue scan. They gave no reason, and I did not request one. The reason field remains blank.",「患者は月の残留検査を断りました。理由は示されず、こちらからも求めませんでした。理由欄は空白のままです。」,248,Original
dlg.ein.patient_refuses.eirin_stop,dialogue,char.eirin_yagokoro,"Then the scan is closed. Blank is not consent waiting to be inferred. Return the lens to its case before we discuss anything else.",「では、検査は中止です。空白は、こちらが推測してよい同意ではありません。ほかの話をする前に、レンズをケースへ戻しなさい。」,248,Original
dlg.ein.patient_refuses.eirin_terms,dialogue,char.eirin_yagokoro,"We preserve what was actually answered: no to this test, at this time. It tells us nothing about the patient's judgment, gratitude, or future choices.",「実際に得た答えをそのまま残します。今、この検査には『いいえ』。それだけです。患者の判断力や感謝、将来の選択については何も示しません。」,248,Original
dlg.ein.patient_refuses.direct,dialogue,char.eirin_yagokoro,"Correct. A complete record may contain an unanswered medical question. It may not turn a person's answer into an administrative defect.",「その通り。完全な記録に、答えの出ていない医学的な問いがあってもいい。人の回答を事務上の不備に変えてはいけません。」,248,Original
dlg.ein.patient_refuses.playful,dialogue,char.eirin_yagokoro,"An unusually economical prescription. We save time, preserve trust, and avoid performing the test. Even I cannot improve that by opening the case.",「珍しく経済的な処方ね。時間を節約し、信頼を守り、検査もしない。私でもケースを開けて、これ以上よくはできません。」,248,Original
dlg.ein.patient_refuses.patient,dialogue,char.eirin_yagokoro,"Yes. The card offers a date, a quiet room, or no return at all. It asks for no reason and expires without becoming an obligation.",「ええ。この札が示すのは後日の予約、静かな部屋、そして戻らない選択です。理由は求めず、義務になる前に期限が切れます。」,248,Original
dlg.ein.patient_refuses.defiant,dialogue,char.eirin_yagokoro,"Good. Easier diagnosis is not permission. We keep the uncertainty because taking the missing result would cost someone else's boundary.",「よろしい。診断が容易になることは許可ではありません。不足した結果を得る代償が本人の境界線なら、私たちは不確実さを残します。」,248,Original
dlg.ein.patient_refuses.after,dialogue,char.eirin_yagokoro,"Competence includes knowing what could be learned and choosing not to take it without permission. We can still offer time, privacy, or a later conversation. None is a fee for saying no.",「何が分かるかを知りながら、許可なしには得ないと決めることも技量です。時間、プライバシー、後日の相談は提案できる。どれも『いいえ』の代金ではありません。」,248,Original
dlg.ein.patient_refuses.ask_player,dialogue,char.eirin_yagokoro,"One separate question. May I use the Diagnostic Lens on your wrist for calibration only? It identifies trace layers; it will not diagnose or treat. Yes and no leave our work exactly where it is.",「別の質問を一つ。校正のためだけに、あなたの手首に診断レンズを使ってもいいですか。痕跡の層を識別するだけで、診断も治療もしません。はいでもいいえでも、私たちの仕事は何も変わりません。」,248,Original
dlg.ein.patient_refuses.player_yes,dialogue,char.eirin_yagokoro,"Agreed scope: one reading, wrist only. I stop when it is complete, or sooner if you withdraw permission.",「合意した範囲は、手首で一度測定するだけ。終われば止めます。あなたが許可を取り下げれば、もっと早く止めます。」,248,Original
dlg.ein.patient_refuses.player_no,dialogue,char.eirin_yagokoro,"No, then. The case stays shut. You owe neither a reason nor a replacement offer; we continue with the ledger.",「では、いいえ。ケースは閉じたままです。理由も代わりの提案も必要ありません。記録の作業を続けましょう。」,248,Original
journal.ein.patient_refuses.title,journal_title,,A Complete Answer,完全な回答,248,Original
journal.ein.patient_refuses.player_yes.body,journal_body,,"Eirin closed the first patient's declined scan, then asked a separate and limited question. The protagonist agreed to one wrist reading with withdrawal still available; that yes did not rewrite the earlier no.",「永琳は最初の患者が断った検査を中止し、その後に別の限定された質問をした。主人公は撤回可能な、手首での一回の測定に同意した。その『はい』が、先の『いいえ』を書き換えることはなかった。」,248,Original
journal.ein.patient_refuses.player_no.body,journal_body,,"Eirin accepted two refusals without demanding reasons or substitute offers. The lens stayed closed; care, shared work, and familiar regard all continued without being held back in return.",「永琳は二つの拒否を受け入れ、理由も代わりの提案も求めなかった。レンズは閉じたまま、ケアも共同作業も、これまで通りの親しさも、引き換えに差し控えられることなく続いた。」,248,Original
