id,title,tier,profiles,stamp,silhouette,landmark,tiles,ambience,transition,base_tiles,animated_props
animal_realm_primate_garden,Animal Realm and Primate Spirit Garden,B,D/B,broken haniwa face inside a square seal,"stacked black towers, assembly lines, regimented haniwa ranks, enormous beast-shadow cutouts",Keiki atelier: a white goddess-shaped gap surrounded by dense black scaffolding,clay brick | kiln grate | conveyor teeth | haniwa face | spirit pool | beast claw mark | garden plinth | command banner,"kiln pulse, marching dust, soul commas and one-frame forge sparks",a haniwa stamp strikes; the screen breaks into four disciplined panels,48,9
eientei_bamboo_forest,Eientei and the Bamboo Forest of the Lost,A,C/D,rabbit ears crossing a medicine vial,"vertical bamboo bars, long rabbit ears, low tiled roofs and an impossible moon disc",Eientei gate appears as a white horizontal cut through a forest of black verticals,bamboo stalk | split root | lost-path fork | moonlit puddle | tatami | medicine shelf | rabbit burrow | sealed corridor,"bamboo sway, ear silhouettes, vial glints and moon phase wipes",three bamboo trunks pass foreground; the middle trunk becomes a door frame,64,12
forest_of_magic_kourindou,Forest of Magic and Kourindou,A,A/D,mushroom cap over a price tag,"leaning trees, mushroom shelves, broom diagonals, shop roof and outside-world rectangles",Kourindou window: a bright display grid of objects whose silhouettes never quite match their labels,root bridge | mushroom cluster | spark moss | herb hook | shop shelf | radio rectangle | broom rack | price tag,"spore drift, hanging herb swing, mini-hakkero spark and radio scan line",a found object rotates as a black silhouette and becomes the next scene aperture,64,12
former_hell_chireiden,Former Hell and the Palace of the Earth Spirits,A,D/C,third eye above a reactor ring,"cavern vaults, palace arches, cat cart, raven wing, reactor circles and third-eye cords",subterranean sun: concentric white rings held inside a nearly solid black reactor hall,basalt crack | hot spring edge | old city lantern | palace eye door | cat-cart rail | reactor grate | control rod socket | spirit flame niche,"heat shimmer as alternating contour, cat-tail flame, cable pulse and slow spirit ascent",a third-eye cord draws a circle; the circle becomes a tunnel or reactor iris,64,12
garden_sun_nameless_hill,Garden of the Sun and Nameless Hill,C,C/A,sunflower split by a lily-of-the-valley bell,"sunflower walls, parasol circle, low poisonous bells and abandoned doll shapes",one enormous sunflower turns away from the player while every small flower faces them,sunflower stem | turning flower head | lily bell | poison soil | safe stepping stone | doll scrap | parasol shade | wind furrow,"petal drift, flower turns, poison motes and abrupt wind silence","a parasol closes to a vertical line, then opens onto the next field",36,6
hakugyokurou,Hakugyokurou,A,C/A,half-phantom curling around a fan,"endless stair, cherry boughs, broad ghost sleeves, twin swords and drifting soul commas",the staircase rises through three depth bands toward a tree too large to fit the frame,white stone stair | cherry root | petal mound | spirit lantern | garden rake line | meal tray | sword stand | sealed tree bark,"petal parallax, phantom breathing, fan flick and food steam",petals gather into a butterfly; its wings open as the next scene,64,12
hakurei_shrine,Hakurei Shrine,A,A/C,yin-yang orb beneath a torii,"torii, low shrine eaves, donation box, bell rope, gohei zigzags and broad sky",torii and donation box align for one instant when the boundary is stable,stone step | weathered plank | tatami edge | donation box | paper charm | bell rope | leaf pile | boundary seam,"leaf loops, charm flutter, kettle steam, bell tail and one-pixel boundary crawl",a gohei swipe wipes a paper-white strip across the frame,64,12
heaven,Heaven,C,C/D,peach resting on a keystone,"cloud shelves, peach trees, keystone blocks, celestial ribbons and weather sword",a black keystone floats below a white garden whose roots never touch it,cloud curl | cloud stair | keystone face | peach branch | celestial railing | weather vein | banquet mat | island edge,"cloud scroll, peach drop, ribbon wave and weather line travelling along edges",a keystone falls toward camera and becomes a black full-screen card,36,6
hidden_back_doors,Hidden Back Doors and Boundary Spaces,B,B/D,open rectangle behind a folding fan,"freestanding doors, fan arcs, seated deity triangle, season emblems and impossible frame overlaps",four doors show four seasons while casting one shared black shadow,door face | threshold | season crest | dancer footprint | backstage rope | empty frame | stage brace | boundary hinge,"hinge tick, season particle swap, dancer shadow and fan-snap inversion","the current background closes like a door, revealing the next scene already behind it",48,9
human_village,Human Village,A,A/B,open book behind a shop curtain,"layered tiled roofs, shop curtains, carts, books, school boards and crowded human-scale doors",main crossing: four readable shop signs and one rumor board fit a 320-pixel frame without text collision,roof cap | plaster wall | street drain | shop curtain | book shelf | school slate | market crate | rumor notice,"curtain lift, cooking steam, page flip, cart wheel and changing notice slips",a shop curtain sweeps sideways; its crest identifies the destination category,64,12
lunar_capital_dream_world,Lunar Capital and Dream World,B,B/D,crescent inside a sleeping eye,"clean lunar spires, rabbit antennae, fan and sword lines, soft dream bubbles and three-world orbs","a perfect moon gate casts a soft, anatomically impossible sleeping shadow",lunar panel | purity seal | moon gate | rabbit terminal | dream pillow | bubble floor | impossible stair | waking crack,"terminal scan, distant rabbit signal, dream bubble reshape and polarity breathing","an eyelid-shaped iris closes; on opening, grid and dream profiles swap",48,9
misty_lake,Misty Lake,B,A/D,ice crystal reflected in a wave,"flat waterline, reed clusters, ice-crystal wings, umbrella arc and mansion shadow",the mansion silhouette appears only through a narrow clear slit in three moving fog bands,shore pebble | reed base | dock plank | water ripple | ice edge | fog pocket | umbrella puddle | fairy marker,"fog drift, ripple ring, uneven ice-wing twitch and surprise umbrella blink",fog fills the frame; a ripple opens a circular view onto the next spot,48,9
moriya_shrine,Moriya Shrine,B,B/A,frog eye and snake curve around an onbashira,"mountain shrine roof, enormous rope loop, onbashira columns, frog hat and wind turbines/waterworks",shimenawa ring frames a practical waterwheel rather than hiding it,mountain stone | shrine plank | onbashira socket | rope knot | frog pond edge | miracle charm | water pipe | wind rotor,"wind sock, rope tassel, frog ripple, rotor step and miracle glyph",a wind gust turns prayer slips into a wipe; one slip carries the next spot name,48,9
myouren_temple,Myouren Temple and Cemetery,B,B/C,lotus above a ship anchor,"temple roof, lotus arches, ship ribs, cloud giant, anchor and cemetery markers","temple facade and ship hull share one contour, readable differently from each side",temple gravel | lotus floor | ship rib | prayer bell | incense stand | grave marker | cloud step | anchor groove,"incense curl, prayer flag, mouse pendulum, umbrella blink and restrained cloud breath",a struck bell emits concentric outlines; the third ring becomes the next frame border,48,9
outside_world_dream_theatre,Outside World Dream Theatre,C,B/C,smartphone rectangle behind a stage moon,"rail platform, classroom window, city antennae, smartphone, occult cape and exposed theatre braces",a city skyline is visibly held up by two backstage braces and one dream thread,stage board | gaffer mark | train door | school desk | rooftop fence | phone icon | occult card | missing-set void,"phone scroll, train light pass, curtain breath and set-card wobble",a phone camera shutter freezes the set; the frozen image slides aside,36,6
